=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\packlist.txt === 
The Masters of Magic Mod
MoM scenario pack
1

=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\SURROGATES.txt === 
mom surrogate register

Primary structured source: H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\tools\momjr_csv

Hidden surrogate-backed tile improvements retained only for compatibility:
- TILEIMP_ADVANCED_UNDERSEA_MINES: Stock deep-ocean production surrogate retained for compatibility only; hidden because MoMJR has no direct tile-improvement counterpart for this CTP2 lane.
- TILEIMP_AIR_BASES: Stock air-logistics tile improvement retained for compatibility only; hidden because MoMJR does not define an airbase tile-improvement lane.
- TILEIMP_AUTOMATED_FISHERIES: Stock ocean-food surrogate retained for compatibility only; hidden because MoMJR does not define this fisheries upgrade lane.
- TILEIMP_DRILLING_PLATFORM: Stock offshore-oil surrogate retained for compatibility only; hidden because MoMJR has no drilling-platform tile-improvement analogue.
- TILEIMP_FISHERIES: Stock fisheries surrogate retained for compatibility only; hidden because MoMJR does not define this tile-improvement lane.
- TILEIMP_LISTENING_POSTS: Stock detector tile improvement retained for compatibility only; hidden because MoMJR does not define this listening-post lane.
- TILEIMP_MAGLEV: Stock transport upgrade retained only as a hidden residue; MoMJR uses the remapped Enchanted Road lane instead.
- TILEIMP_MEGA_MINES: Stock late-industrial mining surrogate retained for compatibility only; hidden because MoMJR does not define this CTP2 mega-mine lane.
- TILEIMP_MEGA_UNDERSEA_MINES: Stock deep-ocean production surrogate retained for compatibility only; hidden because MoMJR has no mega undersea-mine tile-improvement analogue.
- TILEIMP_PORT: Stock ocean-port surrogate retained for compatibility only; hidden because MoMJR's Port is sourced from a city improvement rather than a tile-improvement lane.
- TILEIMP_RADAR_STATIONS: Stock detector tile improvement retained for compatibility only; hidden because MoMJR does not define this radar-station lane.
- TILEIMP_SONAR_BUOYS: Stock ocean-detector surrogate retained for compatibility only; hidden because MoMJR does not define this sonar-buoy lane.
- TILEIMP_UNDERSEA_MINES: Stock undersea-mine surrogate retained for compatibility only; hidden because MoMJR has no direct tile-improvement counterpart for this CTP2 lane.

Visible remaps:
- TILEIMP_RAILROAD: remapped to Enchanted Road and ADVANCE_GREATER_ENCHANTMENTS.

Dynamic logic donor references live under:
- H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\tools\slic_translation_artifacts

=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\temp_descriptions.txt === 
DESCRIPTION_UNIT_CARAVAN	"junkstring_DESCRIPTION_UNIT_CARAVAN"
DESCRIPTION_UNIT_CARRACK	"junkstring_DESCRIPTION_UNIT_CARRACK"
DESCRIPTION_UNIT_Z_FREIGHT_TRANSPORT	"junkstring_DESCRIPTION_UNIT_Z_FREIGHT_TRANSPORT"
DESCRIPTION_UNIT_LONGBOWMAN	"junkstring_DESCRIPTION_UNIT_LONGBOWMAN"
DESCRIPTION_UNIT_ELEPHANT_WARRIOR	"junkstring_DESCRIPTION_UNIT_ELEPHANT_WARRIOR"
DESCRIPTION_UNIT_APPRENTICE_MAGE	"junkstring_DESCRIPTION_UNIT_APPRENTICE_MAGE"
DESCRIPTION_UNIT_BATTLE_MAGES	"junkstring_DESCRIPTION_UNIT_BATTLE_MAGES"
DESCRIPTION_UNIT_SETTLERS	"junkstring_DESCRIPTION_UNIT_SETTLERS"
DESCRIPTION_UNIT_ENGINEERS	"junkstring_DESCRIPTION_UNIT_ENGINEERS"
DESCRIPTION_UNIT_SWORDSMEN	"junkstring_DESCRIPTION_UNIT_SWORDSMEN"
DESCRIPTION_UNIT_SPEARMEN	"junkstring_DESCRIPTION_UNIT_SPEARMEN"
DESCRIPTION_UNIT_BERSERKERS	"junkstring_DESCRIPTION_UNIT_BERSERKERS"
DESCRIPTION_UNIT_DROW_WARRIORS	"junkstring_DESCRIPTION_UNIT_DROW_WARRIORS"
DESCRIPTION_UNIT_WAR_MAMMOTHS	"junkstring_DESCRIPTION_UNIT_WAR_MAMMOTHS"
DESCRIPTION_UNIT_ELEMENTAL_MAGES	"junkstring_DESCRIPTION_UNIT_ELEMENTAL_MAGES"
DESCRIPTION_UNIT_GARGOYLES	"junkstring_DESCRIPTION_UNIT_GARGOYLES"
DESCRIPTION_UNIT_RANGERS	"junkstring_DESCRIPTION_UNIT_RANGERS"
DESCRIPTION_UNIT_SLINGERS	"junkstring_DESCRIPTION_UNIT_SLINGERS"
DESCRIPTION_UNIT_CENTAURS	"junkstring_DESCRIPTION_UNIT_CENTAURS"
DESCRIPTION_UNIT_ELF_LORDS	"junkstring_DESCRIPTION_UNIT_ELF_LORDS"
DESCRIPTION_UNIT_STONE_GIANT	"junkstring_DESCRIPTION_UNIT_STONE_GIANT"
DESCRIPTION_UNIT_FIRE_GIANT	"junkstring_DESCRIPTION_UNIT_FIRE_GIANT"
DESCRIPTION_UNIT_STORM_GIANT	"junkstring_DESCRIPTION_UNIT_STORM_GIANT"
DESCRIPTION_UNIT_HORSEMEN	"junkstring_DESCRIPTION_UNIT_HORSEMEN"
DESCRIPTION_UNIT_WOLF_RIDERS	"junkstring_DESCRIPTION_UNIT_WOLF_RIDERS"
DESCRIPTION_UNIT_STAG_BEETLE	"junkstring_DESCRIPTION_UNIT_STAG_BEETLE"
DESCRIPTION_UNIT_PALADINS	"junkstring_DESCRIPTION_UNIT_PALADINS"
DESCRIPTION_UNIT_HEROS	"junkstring_DESCRIPTION_UNIT_HEROS"
DESCRIPTION_UNIT_PEGASI	"junkstring_DESCRIPTION_UNIT_PEGASI"
DESCRIPTION_UNIT_MERE_DRAGONS	"junkstring_DESCRIPTION_UNIT_MERE_DRAGONS"
DESCRIPTION_UNIT_SPRITES	"junkstring_DESCRIPTION_UNIT_SPRITES"
DESCRIPTION_UNIT_GRIFFONS	"junkstring_DESCRIPTION_UNIT_GRIFFONS"
DESCRIPTION_UNIT_SKY_DRAGON	"junkstring_DESCRIPTION_UNIT_SKY_DRAGON"
DESCRIPTION_UNIT_FLAME_STRIKE	"junkstring_DESCRIPTION_UNIT_FLAME_STRIKE"
DESCRIPTION_UNIT_DEMON_STRIKE	"junkstring_DESCRIPTION_UNIT_DEMON_STRIKE"
DESCRIPTION_UNIT_TRIREME	"junkstring_DESCRIPTION_UNIT_TRIREME"
DESCRIPTION_UNIT_CARAVEL	"junkstring_DESCRIPTION_UNIT_CARAVEL"
DESCRIPTION_UNIT_GALLEON	"junkstring_DESCRIPTION_UNIT_GALLEON"
DESCRIPTION_UNIT_GNOMISH_SHIP	"junkstring_DESCRIPTION_UNIT_GNOMISH_SHIP"
DESCRIPTION_UNIT_TRITONS	"junkstring_DESCRIPTION_UNIT_TRITONS"
DESCRIPTION_UNIT_SEA_DRAGON	"junkstring_DESCRIPTION_UNIT_SEA_DRAGON"
DESCRIPTION_UNIT_HYDRA	"junkstring_DESCRIPTION_UNIT_HYDRA"
DESCRIPTION_UNIT_SEA_SERPENT	"junkstring_DESCRIPTION_UNIT_SEA_SERPENT"
DESCRIPTION_UNIT_FLOAT_AVIARY	"junkstring_DESCRIPTION_UNIT_FLOAT_AVIARY"
DESCRIPTION_UNIT_FLOATING_ISLE	"junkstring_DESCRIPTION_UNIT_FLOATING_ISLE"
DESCRIPTION_UNIT_DRAGON_TURTLE	"junkstring_DESCRIPTION_UNIT_DRAGON_TURTLE"
DESCRIPTION_UNIT_SHAMAN	"junkstring_DESCRIPTION_UNIT_SHAMAN"
DESCRIPTION_UNIT_WOODSMEN	"junkstring_DESCRIPTION_UNIT_WOODSMEN"
