3#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : Text file
# Description  : The civilisation database text file
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added new civilisations.
# - Converted to the new database format. The old format can still be parsed.
#   CityStyle, PersonalityMale and PersonalityFemale are now database 
#   refferences. However quoted strings and database indeces are still
#   accetped. IsCapital is only there for compatibility issures. (Aug 26th 2005 Martin Gühmann)
# - Added EmissaryPhotoFemale default value is taken from 
#   EmissaryPhotoMale. (Aug 26th 2005 Martin Gühmann)
# - Added new NationUnitFlag for each civilisation. (3-mar-2007 Martin Gühmann)
# - Changed Diplomat_Photo to Diplomat_flag for flags in dipwizard (match unit flags) Actually this is a diplomat photo and not a flag, so change it back to a photo, actually this was a missing feature of the original game.
# - Added Jamaican civ
#
#----------------------------------------------------------------------------

#	##    Civilisation.txt	
# 70	## Number of Civs in list (add as grows) (Not needed anymore, but doesn't harm)
# City styles: 0)mediterranean=6 1)middle eastern=9 2)far eastern=5 3)MA pyramid=6 4)european=7 5)Egyptian=2 6)Palace=10

BARBARIAN	#0
{
	LeaderNameMale		BARBARIAN_LEADERM_NAME
	LeaderNameFemale	BARBARIAN_LEADERF_NAME
	PersonalityMale		PERSONALITY_KAHN
	PersonalityFemale	PERSONALITY_KAHN
	PersonalityDescription	PERSONALITY_DESCRIPTION_BARBARIAN
	CountryName		BARBARIAN_COUNTRY_NAME
	SingularCivName		BARBARIAN_SINGULAR
	PluralCivName		BARBARIAN_PLURAL
	EmissaryPhotoMale	AFRICAN_MAN_FLAG
	EmissaryPhotoFemale	AFRICAN_MAN_FLAG
	Parchment		25
	CityStyle		CITY_STYLE_ARAB
	NationUnitFlag		MAPICON_BARBARIAN_FLAG
	CityName		BARBARIAN_CITY_1
	CityName		BARBARIAN_CITY_2
	CityName		BARBARIAN_CITY_3
	CityName		BARBARIAN_CITY_4
	CityName		BARBARIAN_CITY_5
	CityName		BARBARIAN_CITY_6
	CityName		BARBARIAN_CITY_7
	CityName		BARBARIAN_CITY_8
	CityName		BARBARIAN_CITY_9
	CityName		BARBARIAN_CITY_10
	CityName		BARBARIAN_CITY_11
	CityName		BARBARIAN_CITY_12
	CityName		BARBARIAN_CITY_13
	CityName		BARBARIAN_CITY_14
	CityName		BARBARIAN_CITY_15
	CityName		BARBARIAN_CITY_16
	CityName		BARBARIAN_CITY_17
	CityName		BARBARIAN_CITY_18
	CityName		BARBARIAN_CITY_19
	CityName		BARBARIAN_CITY_20
	CityName		BARBARIAN_CITY_21
	CityName		BARBARIAN_CITY_22
	CityName		BARBARIAN_CITY_23
	CityName		BARBARIAN_CITY_24
	CityName		BARBARIAN_CITY_25
	CityName		BARBARIAN_CITY_26
	CityName		BARBARIAN_CITY_27
	CityName		BARBARIAN_CITY_28
	CityName		BARBARIAN_CITY_29
	CityName		BARBARIAN_CITY_30
}


# == BEGIN GENERATED MOM TRIBES ==
# Generated by ctp2_generator.py from players.csv + tribe_cities.csv
# DO NOT EDIT - re-run the generator to update
#----------------------------------------------------------------------------
# Masters of Magic Scenario Tribes
#----------------------------------------------------------------------------

TRIBES_LIFE	#1
{
	LeaderNameMale			TRIBES_LIFE_LEADERM_NAME
	LeaderNameFemale		TRIBES_LIFE_LEADERM_NAME
	PersonalityMale			PERSONALITY_CALLENBACH
	PersonalityFemale		PERSONALITY_CALLENBACH
	PersonalityDescription		PERSONALITY_DESCRIPTION_TRIBES_LIFE
	CountryName			TRIBES_LIFE_COUNTRY_NAME
	SingularCivName			TRIBES_LIFE_SINGULAR
	PluralCivName			TRIBES_LIFE_PLURAL
	EmissaryPhotoMale		CELTIC_DIPLOMAT_FLAG
	EmissaryPhotoFemale		CELTIC_DIPLOMAT_FLAG
	Parchment			42
	CityStyle			CITY_STYLE_ROMAN
	NationUnitFlag			MAPICON_CELTIC_FLAG
	CityName			TRIBES_LIFE_CITY_1
	CityName			TRIBES_LIFE_CITY_2
	CityName			TRIBES_LIFE_CITY_3
	CityName			TRIBES_LIFE_CITY_4
	CityName			TRIBES_LIFE_CITY_5
	CityName			TRIBES_LIFE_CITY_6
	CityName			TRIBES_LIFE_CITY_7
	CityName			TRIBES_LIFE_CITY_8
	CityName			TRIBES_LIFE_CITY_9
	CityName			TRIBES_LIFE_CITY_10
	CityName			TRIBES_LIFE_CITY_11
	CityName			TRIBES_LIFE_CITY_12
	CityName			TRIBES_LIFE_CITY_13
	CityName			TRIBES_LIFE_CITY_14
	CityName			TRIBES_LIFE_CITY_15
}

TRIBES_NATURE	#2
{
	LeaderNameMale			TRIBES_NATURE_LEADERM_NAME
	LeaderNameFemale		TRIBES_NATURE_LEADERF_NAME
	PersonalityMale			PERSONALITY_DEGAULLE
	PersonalityFemale		PERSONALITY_DEGAULLE
	PersonalityDescription		PERSONALITY_DESCRIPTION_TRIBES_NATURE
	CountryName			TRIBES_NATURE_COUNTRY_NAME
	SingularCivName			TRIBES_NATURE_SINGULAR
	PluralCivName			TRIBES_NATURE_PLURAL
	EmissaryPhotoMale		NATIVE_AMERICAN_DIPLOMAT_FLAG
	EmissaryPhotoFemale		NATIVE_AMERICAN_DIPLOMAT_FLAG
	Parchment			43
	CityStyle			CITY_STYLE_CASTLE
	NationUnitFlag			MAPICON_NATIVE_AMERICAN_FLAG
	CityName			TRIBES_NATURE_CITY_1
	CityName			TRIBES_NATURE_CITY_2
	CityName			TRIBES_NATURE_CITY_3
	CityName			TRIBES_NATURE_CITY_4
	CityName			TRIBES_NATURE_CITY_5
	CityName			TRIBES_NATURE_CITY_6
	CityName			TRIBES_NATURE_CITY_7
	CityName			TRIBES_NATURE_CITY_8
	CityName			TRIBES_NATURE_CITY_9
	CityName			TRIBES_NATURE_CITY_10
	CityName			TRIBES_NATURE_CITY_11
	CityName			TRIBES_NATURE_CITY_12
	CityName			TRIBES_NATURE_CITY_13
	CityName			TRIBES_NATURE_CITY_14
	CityName			TRIBES_NATURE_CITY_15
}

TRIBES_SORCERY	#3
{
	LeaderNameMale			TRIBES_SORCERY_LEADERM_NAME
	LeaderNameFemale		TRIBES_SORCERY_LEADERM_NAME
	PersonalityMale			PERSONALITY_MEDICI
	PersonalityFemale		PERSONALITY_MEDICI
	PersonalityDescription		PERSONALITY_DESCRIPTION_TRIBES_SORCERY
	CountryName			TRIBES_SORCERY_COUNTRY_NAME
	SingularCivName			TRIBES_SORCERY_SINGULAR
	PluralCivName			TRIBES_SORCERY_PLURAL
	EmissaryPhotoMale		ARABIAN_DIPLOMAT_FLAG
	EmissaryPhotoFemale		ARABIAN_DIPLOMAT_FLAG
	Parchment			44
	CityStyle			CITY_STYLE_ARAB
	NationUnitFlag			MAPICON_ARABIAN_FLAG
	CityName			TRIBES_SORCERY_CITY_1
	CityName			TRIBES_SORCERY_CITY_2
	CityName			TRIBES_SORCERY_CITY_3
	CityName			TRIBES_SORCERY_CITY_4
	CityName			TRIBES_SORCERY_CITY_5
	CityName			TRIBES_SORCERY_CITY_6
	CityName			TRIBES_SORCERY_CITY_7
	CityName			TRIBES_SORCERY_CITY_8
	CityName			TRIBES_SORCERY_CITY_9
	CityName			TRIBES_SORCERY_CITY_10
	CityName			TRIBES_SORCERY_CITY_11
	CityName			TRIBES_SORCERY_CITY_12
	CityName			TRIBES_SORCERY_CITY_13
	CityName			TRIBES_SORCERY_CITY_14
	CityName			TRIBES_SORCERY_CITY_15
}

TRIBES_DEATH	#4
{
	LeaderNameMale			TRIBES_DEATH_LEADERM_NAME
	LeaderNameFemale		TRIBES_DEATH_LEADERM_NAME
	PersonalityMale			PERSONALITY_NADER
	PersonalityFemale		PERSONALITY_NADER
	PersonalityDescription		PERSONALITY_DESCRIPTION_TRIBES_DEATH
	CountryName			TRIBES_DEATH_COUNTRY_NAME
	SingularCivName			TRIBES_DEATH_SINGULAR
	PluralCivName			TRIBES_DEATH_PLURAL
	EmissaryPhotoMale		EGYPTIAN_DIPLOMAT_FLAG
	EmissaryPhotoFemale		EGYPTIAN_DIPLOMAT_FLAG
	Parchment			45
	CityStyle			CITY_STYLE_EGYPTAIN
	NationUnitFlag			MAPICON_EGYPTIAN_FLAG
	CityName			TRIBES_DEATH_CITY_1
