ADVANCE_USER_DEF_TECH_A				"User Def Tech A"
ADVANCE_CHIVALRY				"Chivalry"
ADVANCE_TACTICS					"Tactics"
ADVANCE_FEUDALISM				"Feudalism"
ADVANCE_HOLY_WARRIORS				"Holy Warriors"
ADVANCE_GRAND_MASTERY				"Grand Mastery"
ADVANCE_LEADERSHIP				"Leadership"
ADVANCE_WARRIOR_CODE				"Warrior Code"
ADVANCE_CEREMONIAL_BURIAL			"Ceremonial Burial"
ADVANCE_CODE_OF_LAWS				"Code of Laws"
ADVANCE_MONARCHY				"Monarchy"
ADVANCE_THEOLOGY				"Theology"
ADVANCE_MYSTICISM				"Mysticism"
ADVANCE_PHILOSOPHY				"Philosophy"
ADVANCE_THE_REPUBLIC				"The Republic"
ADVANCE_BANKING					"Banking"
ADVANCE_CURRENCY				"Currency"
ADVANCE_MAP_MAKING				"Map Making"
ADVANCE_NAVIGATION				"Navigation"
ADVANCE_POTTERY					"Pottery"
ADVANCE_SANITATION				"Sanitation"
ADVANCE_SEAFARING				"Seafaring"
ADVANCE_TRADE					"Trade"
ADVANCE_ECOGNOMICS				"Ecognomics"
ADVANCE_BRIDGE_BUILDING				"Bridge Building"
ADVANCE_BRONZE_WORKING				"Bronze Working"
ADVANCE_CONSTRUCTION				"Construction"
ADVANCE_IRON_WORKING				"Iron Working"
ADVANCE_MASONRY					"Masonry"
ADVANCE_NATURE_LORE				"Nature Lore"
ADVANCE_NATURE_ADEPT				"Nature Adept"
ADVANCE_NATURE_MAGE				"Nature Mage"
ADVANCE_NATURE_WIZARD				"Nature Wizard"
ADVANCE_NATURE_MASTER				"Nature Master"
ADVANCE_NATURE_MAGIC				"Nature Magic"
ADVANCE_ALCHEMY					"Alchemy"
ADVANCE_ALPHABET				"Alphabet"
ADVANCE_ANIMISM					"Animism"
ADVANCE_ASTROLOGY				"Astrology"
ADVANCE_ELDRITCH_LORE				"Eldritch Lore"
ADVANCE_GREATER_FAUNA_LORE			"Greater Fauna Lore"
ADVANCE_HEALING					"Healing"
ADVANCE_LESSER_ENCHANMENTS			"Lesser Enchanments"
ADVANCE_METAMORPHOSIS				"Metamorphosis"
ADVANCE_PANTHEISM				"Pantheism"
ADVANCE_RUNE_LORE				"Rune Lore"
ADVANCE_SEA_MASTERY				"Sea Mastery"
ADVANCE_SHAMANISM				"Shamanism"
ADVANCE_THAUMATURGY				"Thaumaturgy"
ADVANCE_WIZARDRY				"Wizardry"
ADVANCE_GLYPHS					"Glyphs"
ADVANCE_LITERACY				"Literacy"
ADVANCE_MATHEMATICS				"Mathematics"
ADVANCE_GREATER_ENCHANTMENTS			"Greater Enchantments"
ADVANCE_UNIVERSITY				"University"
ADVANCE_WRITING					"Writing"
ADVANCE_FORCES_OF_NATURE			"Forces of Nature"
ADVANCE_SEA_LORE				"Sea Lore"
ADVANCE_ARTIFICING				"Artificing"
ADVANCE_LESSER_FAUNA_LORE			"Lesser Fauna Lore"
ADVANCE_PYROTECHNICS				"Pyrotechnics"
ADVANCE_OCCULT_STUDIES				"Occult Studies"
ADVANCE_LIFE_MAGIC				"Life Magic"
ADVANCE_LIFE_LORE				"Life Lore"
ADVANCE_LIFE_ADEPT				"Life Adept"
ADVANCE_LIFE_MAGE				"Life Mage"
ADVANCE_LIFE_WIZARD				"Life Wizard"
ADVANCE_LIFE_MASTER				"Life Master"
ADVANCE_DEATH_LORE				"Death Lore"
ADVANCE_DEATH_ADEPT				"Death Adept"
ADVANCE_DEATH_MAGE				"Death Mage"
ADVANCE_DEATH_WIZARD				"Death Wizard"
ADVANCE_DEATH_MASTER				"Death Master"
ADVANCE_DEATH_MAGIC				"Death Magic"
ADVANCE_SORCERY					"Sorcery"
ADVANCE_SORCERY_MAGE				"Sorcery Mage"
ADVANCE_SORCERY_WIZARD				"Sorcery Wizard"
ADVANCE_SORCERY_MASTER				"Sorcery Master"
ADVANCE_SORCEROUS_LORE				"Sorcerous Lore"
ADVANCE_SORCERY_ADEPT				"Sorcery Adept"
ADVANCE_CHAOS_MAGIC				"Chaos Magic"
ADVANCE_CHAOS_LORE				"Chaos Lore"
ADVANCE_CHAOS_ADEPT				"Chaos Adept"
ADVANCE_CHAOS_MAGE				"Chaos Mage"
ADVANCE_CHAOS_WIZARD				"Chaos Wizard"
ADVANCE_CHAOS_MASTER				"Chaos Master"
ADVANCE_FUTURE_TECHNOLOGY			"Future Technology"
ADVANCE_AGE_OF_REASON				"Age Of Reason"
ADVANCE_AGRICULTURE				"Agriculture"
ADVANCE_BALLISTICS				"Ballistics"
ADVANCE_BEAST_MASTERY				"Beast Mastery"
ADVANCE_BESERKER_TRAINING			"Beserker Training"
ADVANCE_BUREAUCRACY				"Bureaucracy"
ADVANCE_CANNON_MAKING				"Cannon Making"
ADVANCE_CAVALRY_TACTICS				"Cavalry Tactics"
ADVANCE_CENTAUR_TRAINING			"Centaur Training"
ADVANCE_CHEMISTRY				"Chemistry"
ADVANCE_CITY_WIDE_ENCHANTMENT			"City Wide Enchantment"
ADVANCE_CLASSICAL_EDUCATION			"Classical Education"
ADVANCE_CONCRETE				"Concrete"
ADVANCE_CRUSADE					"Crusade"
ADVANCE_DARK_KNOWLEDGE				"Dark Knowledge"
ADVANCE_DOMESTICATION				"Domestication"
ADVANCE_DRACONIC				"Draconic"
ADVANCE_DRAMA					"Drama"
ADVANCE_ELF_NOBILITY				"Elf Nobility"
ADVANCE_EXPLORATION				"Exploration"
ADVANCE_FIRE_MAGIC				"Fire Magic"
ADVANCE_FOREST_LORE				"Forest Lore"
ADVANCE_GALLEONS				"Galleons"
ADVANCE_GEOMETRY				"Geometry"
ADVANCE_GREAT_DRAGONS				"Great Dragons"
ADVANCE_GUNPOWDER				"Gunpowder"
ADVANCE_HEROISM					"Heroism"
ADVANCE_HORSEMANSHIP				"Horsemanship"
ADVANCE_HORSE_RIDING				"Horse Riding"
ADVANCE_HULL_MAKING				"Hull Making"
ADVANCE_INSECT_MAGIC				"Insect Magic"
ADVANCE_INTERCHANGABLE_PARTS			"Interchangable Parts"
ADVANCE_JURISPRUDENCE				"Jurisprudence"
ADVANCE_MAGICAL_ENGINEERING			"Magical Engineering"
ADVANCE_MARKSMANSHIP				"Marksmanship"
ADVANCE_MECHANICAL_CLOCK			"Mechanical Clock"
ADVANCE_MONSTER_SUMMONING			"Monster Summoning"
ADVANCE_MYTHICAL_BEASTS				"Mythical Beasts"
ADVANCE_NA					"Na"
ADVANCE_NAVAL_TACTICS				"Naval Tactics"
ADVANCE_OCEAN_FARING				"Ocean Faring"
ADVANCE_OPTICS					"Optics"
ADVANCE_PERSPECTIVE				"Perspective"
ADVANCE_PRINTING_PRESS				"Printing Press"
ADVANCE_RELIGION				"Religion"
ADVANCE_SAILING					"Sailing"
ADVANCE_SEA_DRAGONS				"Sea Dragons"
ADVANCE_SEA_MAGIC				"Sea Magic"
ADVANCE_SHIP_BUILDING				"Ship Building"
ADVANCE_SLAVE_LABOR				"Slave Labor"
ADVANCE_SLING_MAKING				"Sling Making"
ADVANCE_SPEAR_WORKING				"Spear Working"
ADVANCE_STONE_WORKING				"Stone Working"
ADVANCE_STORM_MAGIC				"Storm Magic"
ADVANCE_SWORD_WORKING				"Sword Working"
ADVANCE_TOOLMAKING				"Toolmaking"
ADVANCE_WIZARD_GUILD				"Wizard Guild"
IMPROVE_WIZARDS_FORTRESS			"Wizard's Fortress"
DESCRIPTION_IMPROVE_WIZARDS_FORTRESS		""
IMPROVE_BARRACKS				"Barracks"
DESCRIPTION_IMPROVE_BARRACKS			""
IMPROVE_GRANARY					"Granary"
DESCRIPTION_IMPROVE_GRANARY			""
IMPROVE_TEMPLE					"Temple"
DESCRIPTION_IMPROVE_TEMPLE			""
IMPROVE_LIBRARY					"Library"
DESCRIPTION_IMPROVE_LIBRARY			""
IMPROVE_COURTHOUSE				"Courthouse"
DESCRIPTION_IMPROVE_COURTHOUSE			""
IMPROVE_CITY_WALLS				"City Walls"
DESCRIPTION_IMPROVE_CITY_WALLS			""
IMPROVE_AQUEDUCT				"Aqueduct"
DESCRIPTION_IMPROVE_AQUEDUCT			""
IMPROVE_CATHEDRAL				"Cathedral"
DESCRIPTION_IMPROVE_CATHEDRAL			""
IMPROVE_UNIVERSITY				"University"
DESCRIPTION_IMPROVE_UNIVERSITY			""
IMPROVE_COLOSSEUM				"Colosseum"
DESCRIPTION_IMPROVE_COLOSSEUM			""
IMPROVE_MECHANICIANS_GUILD			"Mechanician's Guild"
DESCRIPTION_IMPROVE_MECHANICIANS_GUILD		""
IMPROVE_PRIMAL_SOURCE				"Primal Source"
DESCRIPTION_IMPROVE_PRIMAL_SOURCE		""
IMPROVE_MERCHANTS_GUILD				"Merchant's Guild"
DESCRIPTION_IMPROVE_MERCHANTS_GUILD		""
IMPROVE_BEACON_OF_WISDOM			"Beacon of Wisdom"
DESCRIPTION_IMPROVE_BEACON_OF_WISDOM		""
IMPROVE_COASTAL_FORTRESS			"Coastal Fortress"
DESCRIPTION_IMPROVE_COASTAL_FORTRESS		""
IMPROVE_HARBOR					"Harbor"
DESCRIPTION_IMPROVE_HARBOR			""
IMPROVE_FANTASTIC_STABLE			"Fantastic Stable"
DESCRIPTION_IMPROVE_FANTASTIC_STABLE		""
IMPROVE_PORT					"Port"
DESCRIPTION_IMPROVE_PORT			""
IMPROVE_SUPERMARKET				"Supermarket"
DESCRIPTION_IMPROVE_SUPERMARKET			""
WONDER_GAIAS_SHRINE				"Gaia's Shrine"
WONDER_GAIAS_SHRINE_ARTICLE			""
DESCRIPTION_WONDER_GAIAS_SHRINE			"Gaia's Shrine is a Master of Magic world wonder."
WONDER_PLEASURE_DOME				"Pleasure Dome"
WONDER_PLEASURE_DOME_ARTICLE			"the "
DESCRIPTION_WONDER_PLEASURE_DOME		"Pleasure Dome is a Master of Magic world wonder."
WONDER_FONT_OF_BOUNTY				"Font of Bounty"
WONDER_FONT_OF_BOUNTY_ARTICLE			"the "
DESCRIPTION_WONDER_FONT_OF_BOUNTY		"Font of Bounty is a Master of Magic world wonder."
WONDER_XLIGHTHOUSE				"Xlighthouse"
WONDER_XLIGHTHOUSE_ARTICLE			"the "
DESCRIPTION_WONDER_XLIGHTHOUSE			"Xlighthouse is a Master of Magic world wonder."
WONDER_GREAT_LIBRARY				"Great Library"
WONDER_GREAT_LIBRARY_ARTICLE			"the "
DESCRIPTION_WONDER_GREAT_LIBRARY		"Great Library is a Master of Magic world wonder."
WONDER_ORACLE					"Oracle"
WONDER_ORACLE_ARTICLE				"the "
DESCRIPTION_WONDER_ORACLE			"Oracle is a Master of Magic world wonder."
WONDER_WALL_OF_BONE				"Wall of Bone"
WONDER_WALL_OF_BONE_ARTICLE			"the "
DESCRIPTION_WONDER_WALL_OF_BONE			"Wall of Bone is a Master of Magic world wonder."
WONDER_GUILD_OF_LEGENDS				"Guild of Legends"
WONDER_GUILD_OF_LEGENDS_ARTICLE			"the "
DESCRIPTION_WONDER_GUILD_OF_LEGENDS		"Guild of Legends is a Master of Magic world wonder."
WONDER_RUNE_OF_RULERSHIP			"Rune of Rulership"
WONDER_RUNE_OF_RULERSHIP_ARTICLE		"the "
DESCRIPTION_WONDER_RUNE_OF_RULERSHIP		"Rune of Rulership is a Master of Magic world wonder."
WONDER_BARDIC_COLLEGE				"Bardic College"
WONDER_BARDIC_COLLEGE_ARTICLE			"the "
DESCRIPTION_WONDER_BARDIC_COLLEGE		"Bardic College is a Master of Magic world wonder."
WONDER_THE_PARTHENON				"The Parthenon"
WONDER_THE_PARTHENON_ARTICLE			""
DESCRIPTION_WONDER_THE_PARTHENON		"The Parthenon is a Master of Magic world wonder."
WONDER_MYSTIC_XS_TOWER				"Mystic X's Tower"
WONDER_MYSTIC_XS_TOWER_ARTICLE			""
DESCRIPTION_WONDER_MYSTIC_XS_TOWER		"Mystic X's Tower is a Master of Magic world wonder."
WONDER_GUNTHARS_VOYAGE				"Gunthar's Voyage"
WONDER_GUNTHARS_VOYAGE_ARTICLE			""
DESCRIPTION_WONDER_GUNTHARS_VOYAGE		"Gunthar's Voyage is a Master of Magic world wonder."
WONDER_PROSPEROS_CONSERVATORY			"Prospero's Conservatory"
WONDER_PROSPEROS_CONSERVATORY_ARTICLE		""
DESCRIPTION_WONDER_PROSPEROS_CONSERVATORY	"Prospero's Conservatory is a Master of Magic world wonder."
WONDER_ELIXIR_OF_METAMORPHOSIS			"Elixir of Metamorphosis"
WONDER_ELIXIR_OF_METAMORPHOSIS_ARTICLE		"the "
DESCRIPTION_WONDER_ELIXIR_OF_METAMORPHOSIS	"Elixir of Metamorphosis is a Master of Magic world wonder."
WONDER_ENCHANTED_GROTTO				"Enchanted Grotto"
WONDER_ENCHANTED_GROTTO_ARTICLE			"the "
DESCRIPTION_WONDER_ENCHANTED_GROTTO		"Enchanted Grotto is a Master of Magic world wonder."
WONDER_ELDRITCH_COLLEGE				"Eldritch College"
WONDER_ELDRITCH_COLLEGE_ARTICLE			"the "
DESCRIPTION_WONDER_ELDRITCH_COLLEGE		"Eldritch College is a Master of Magic world wonder."
WONDER_GNOME_TREASURY				"Gnome Treasury"
WONDER_GNOME_TREASURY_ARTICLE			"the "
DESCRIPTION_WONDER_GNOME_TREASURY		"Gnome Treasury is a Master of Magic world wonder."
WONDER_REYWINDS_DISCOVERY			"Reywind's Discovery"
WONDER_REYWINDS_DISCOVERY_ARTICLE		""
DESCRIPTION_WONDER_REYWINDS_DISCOVERY		"Reywind's Discovery is a Master of Magic world wonder."
WONDER_XSTATUE_OF_LIBERTY			"Xstatue Of Liberty"
WONDER_XSTATUE_OF_LIBERTY_ARTICLE		"the "
DESCRIPTION_WONDER_XSTATUE_OF_LIBERTY		"Xstatue Of Liberty is a Master of Magic world wonder."
WONDER_MESMERS_TOWER				"Mesmer's Tower"
WONDER_MESMERS_TOWER_ARTICLE			""
DESCRIPTION_WONDER_MESMERS_TOWER		"Mesmer's Tower is a Master of Magic world wonder."
WONDER_XWOMENS_SUFFRAGE				"Xwomens Suffrage"
WONDER_XWOMENS_SUFFRAGE_ARTICLE			"the "
DESCRIPTION_WONDER_XWOMENS_SUFFRAGE		"Xwomens Suffrage is a Master of Magic world wonder."
WONDER_FORGE_OF_CHAOS				"Forge of Chaos"
WONDER_FORGE_OF_CHAOS_ARTICLE			"the "
DESCRIPTION_WONDER_FORGE_OF_CHAOS		"Forge of Chaos is a Master of Magic world wonder."
WONDER_ENTROPY_ENGINE				"Entropy Engine"
WONDER_ENTROPY_ENGINE_ARTICLE			"the "
DESCRIPTION_WONDER_ENTROPY_ENGINE		"Entropy Engine is a Master of Magic world wonder."
WONDER_LEAGUE_OF_WIZARDS			"League of Wizards"
WONDER_LEAGUE_OF_WIZARDS_ARTICLE		"the "
DESCRIPTION_WONDER_LEAGUE_OF_WIZARDS		"League of Wizards is a Master of Magic world wonder."
WONDER_XAPOLLO_PROGRAM				"Xapollo Program"
WONDER_XAPOLLO_PROGRAM_ARTICLE			"the "
DESCRIPTION_WONDER_XAPOLLO_PROGRAM		"Xapollo Program is a Master of Magic world wonder."
WONDER_CELESTIAL_BEACON				"Celestial Beacon"
WONDER_CELESTIAL_BEACON_ARTICLE			"the "
DESCRIPTION_WONDER_CELESTIAL_BEACON		"Celestial Beacon is a Master of Magic world wonder."
WONDER_XCURE_FOR_CANCER				"Xcure For Cancer"
WONDER_XCURE_FOR_CANCER_ARTICLE			"the "
DESCRIPTION_WONDER_XCURE_FOR_CANCER		"Xcure For Cancer is a Master of Magic world wonder."
UNIT_PEASANTS					"Peasants"
DESCRIPTION_UNIT_PEASANTS			"Peasants: a Master of Magic unit."
UNIT_ZOMBIES					"Zombies"
DESCRIPTION_UNIT_ZOMBIES			"Zombies: a Master of Magic unit."
UNIT_SPEARMEN					"Spearmen"
DESCRIPTION_UNIT_SPEARMEN			"Spearmen: a Master of Magic unit."
UNIT_SWORDSMEN					"Swordsmen"
DESCRIPTION_UNIT_SWORDSMEN			"Swordsmen: a Master of Magic unit."
UNIT_PHANTOM_WARRIORS				"Phantom Warriors"
DESCRIPTION_UNIT_PHANTOM_WARRIORS		"Phantom Warriors: a Master of Magic unit."
UNIT_HELL_HOUNDS				"Hell Hounds"
DESCRIPTION_UNIT_HELL_HOUNDS			"Hell Hounds: a Master of Magic unit."
UNIT_WARBEARS					"Warbears"
DESCRIPTION_UNIT_WARBEARS			"Warbears: a Master of Magic unit."
UNIT_WARLOCK					"Warlock"
DESCRIPTION_UNIT_WARLOCK			"Warlock: a Master of Magic unit."
UNIT_ARIEL					"Ariel"
DESCRIPTION_UNIT_ARIEL				"Ariel: a Master of Magic unit."
UNIT_JAFAR					"Jafar"
DESCRIPTION_UNIT_JAFAR				"Jafar: a Master of Magic unit."
UNIT_RJAK					"Rjak"
DESCRIPTION_UNIT_RJAK				"Rjak: a Master of Magic unit."
UNIT_TAURON					"Tauron"
DESCRIPTION_UNIT_TAURON				"Tauron: a Master of Magic unit."
UNIT_SERENA					"Serena"
DESCRIPTION_UNIT_SERENA				"Serena: a Master of Magic unit."
UNIT_FREYA					"Freya"
DESCRIPTION_UNIT_FREYA				"Freya: a Master of Magic unit."
UNIT_ALORRA					"Alorra"
DESCRIPTION_UNIT_ALORRA				"Alorra: a Master of Magic unit."
UNIT_CENTAURS					"Centaurs"
DESCRIPTION_UNIT_CENTAURS			"Centaurs: a Master of Magic unit."
UNIT_ELVEN_ARCHERS				"Elven Archers"
DESCRIPTION_UNIT_ELVEN_ARCHERS			"Elven Archers: a Master of Magic unit."
UNIT_MAGE					"Mage"
DESCRIPTION_UNIT_MAGE				"Mage: a Master of Magic unit."
UNIT_WYVERN					"Wyvern"
DESCRIPTION_UNIT_WYVERN				"Wyvern: a Master of Magic unit."
UNIT_KNIGHTS					"Knights"
DESCRIPTION_UNIT_KNIGHTS			"Knights: a Master of Magic unit."
UNIT_PALADINS					"Paladins"
DESCRIPTION_UNIT_PALADINS			"Paladins: a Master of Magic unit."
UNIT_UNICORN					"Unicorn"
DESCRIPTION_UNIT_UNICORN			"Unicorn: a Master of Magic unit."
UNIT_IRON_GOLEM					"Iron Golem"
DESCRIPTION_UNIT_IRON_GOLEM			"Iron Golem: a Master of Magic unit."
UNIT_CATAPULT					"Catapult"
DESCRIPTION_UNIT_CATAPULT			"Catapult: a Master of Magic unit."
UNIT_STEAM_CANNON				"Steam Cannon"
DESCRIPTION_UNIT_STEAM_CANNON			"Steam Cannon: a Master of Magic unit."
UNIT_EFREET					"Efreet"
DESCRIPTION_UNIT_EFREET				"Efreet: a Master of Magic unit."
UNIT_WRAITH					"Wraith"
DESCRIPTION_UNIT_WRAITH				"Wraith: a Master of Magic unit."
UNIT_GRIFFIN					"Griffin"
DESCRIPTION_UNIT_GRIFFIN			"Griffin: a Master of Magic unit."
UNIT_PEGASUS					"Pegasus"
DESCRIPTION_UNIT_PEGASUS			"Pegasus: a Master of Magic unit."
UNIT_GALLEY					"Galley"
DESCRIPTION_UNIT_GALLEY				"Galley: a Master of Magic unit."
UNIT_WARSHIP					"Warship"
DESCRIPTION_UNIT_WARSHIP			"Warship: a Master of Magic unit."
UNIT_HYDRA					"Hydra"
DESCRIPTION_UNIT_HYDRA				"Hydra: a Master of Magic unit."
UNIT_AIRSHIP					"Airship"
DESCRIPTION_UNIT_AIRSHIP			"Airship: a Master of Magic unit."
UNIT_MINOTAUR					"Minotaur"
DESCRIPTION_UNIT_MINOTAUR			"Minotaur: a Master of Magic unit."
UNIT_WAR_TROLL					"War Troll"
DESCRIPTION_UNIT_WAR_TROLL			"War Troll: a Master of Magic unit."
UNIT_GARGOYLE					"Gargoyle"
DESCRIPTION_UNIT_GARGOYLE			"Gargoyle: a Master of Magic unit."
UNIT_GUARDIAN_SPIRIT				"Guardian Spirit"
DESCRIPTION_UNIT_GUARDIAN_SPIRIT		"Guardian Spirit: a Master of Magic unit."
UNIT_COCKATRICE					"Cockatrice"
DESCRIPTION_UNIT_COCKATRICE			"Cockatrice: a Master of Magic unit."
UNIT_SALAMANDER					"Salamander"
DESCRIPTION_UNIT_SALAMANDER			"Salamander: a Master of Magic unit."
UNIT_INFERNAL_DEVICE				"Infernal Device"
DESCRIPTION_UNIT_INFERNAL_DEVICE		"Infernal Device: a Master of Magic unit."
UNIT_MINION					"Minion"
DESCRIPTION_UNIT_MINION				"Minion: a Master of Magic unit."
UNIT_DEMON					"Demon"
DESCRIPTION_UNIT_DEMON				"Demon: a Master of Magic unit."
