DESCRIPTION_UNIT_CARAVAN	"junkstring_DESCRIPTION_UNIT_CARAVAN"
DESCRIPTION_UNIT_CARRACK	"junkstring_DESCRIPTION_UNIT_CARRACK"
DESCRIPTION_UNIT_Z_FREIGHT_TRANSPORT	"junkstring_DESCRIPTION_UNIT_Z_FREIGHT_TRANSPORT"
DESCRIPTION_UNIT_LONGBOWMAN	"junkstring_DESCRIPTION_UNIT_LONGBOWMAN"
DESCRIPTION_UNIT_ELEPHANT_WARRIOR	"junkstring_DESCRIPTION_UNIT_ELEPHANT_WARRIOR"
DESCRIPTION_UNIT_APPRENTICE_MAGE	"junkstring_DESCRIPTION_UNIT_APPRENTICE_MAGE"
DESCRIPTION_UNIT_BATTLE_MAGES	"junkstring_DESCRIPTION_UNIT_BATTLE_MAGES"
DESCRIPTION_UNIT_SETTLERS	"junkstring_DESCRIPTION_UNIT_SETTLERS"
DESCRIPTION_UNIT_ENGINEERS	"junkstring_DESCRIPTION_UNIT_ENGINEERS"
DESCRIPTION_UNIT_SWORDSMEN	"junkstring_DESCRIPTION_UNIT_SWORDSMEN"
DESCRIPTION_UNIT_SPEARMEN	"junkstring_DESCRIPTION_UNIT_SPEARMEN"
DESCRIPTION_UNIT_BERSERKERS	"junkstring_DESCRIPTION_UNIT_BERSERKERS"
DESCRIPTION_UNIT_DROW_WARRIORS	"junkstring_DESCRIPTION_UNIT_DROW_WARRIORS"
DESCRIPTION_UNIT_WAR_MAMMOTHS	"junkstring_DESCRIPTION_UNIT_WAR_MAMMOTHS"
DESCRIPTION_UNIT_ELEMENTAL_MAGES	"junkstring_DESCRIPTION_UNIT_ELEMENTAL_MAGES"
DESCRIPTION_UNIT_GARGOYLES	"junkstring_DESCRIPTION_UNIT_GARGOYLES"
DESCRIPTION_UNIT_RANGERS	"junkstring_DESCRIPTION_UNIT_RANGERS"
DESCRIPTION_UNIT_SLINGERS	"junkstring_DESCRIPTION_UNIT_SLINGERS"
DESCRIPTION_UNIT_CENTAURS	"junkstring_DESCRIPTION_UNIT_CENTAURS"
DESCRIPTION_UNIT_ELF_LORDS	"junkstring_DESCRIPTION_UNIT_ELF_LORDS"
DESCRIPTION_UNIT_STONE_GIANT	"junkstring_DESCRIPTION_UNIT_STONE_GIANT"
DESCRIPTION_UNIT_FIRE_GIANT	"junkstring_DESCRIPTION_UNIT_FIRE_GIANT"
DESCRIPTION_UNIT_STORM_GIANT	"junkstring_DESCRIPTION_UNIT_STORM_GIANT"
DESCRIPTION_UNIT_HORSEMEN	"junkstring_DESCRIPTION_UNIT_HORSEMEN"
DESCRIPTION_UNIT_WOLF_RIDERS	"junkstring_DESCRIPTION_UNIT_WOLF_RIDERS"
DESCRIPTION_UNIT_STAG_BEETLE	"junkstring_DESCRIPTION_UNIT_STAG_BEETLE"
DESCRIPTION_UNIT_PALADINS	"junkstring_DESCRIPTION_UNIT_PALADINS"
DESCRIPTION_UNIT_HEROS	"junkstring_DESCRIPTION_UNIT_HEROS"
DESCRIPTION_UNIT_PEGASI	"junkstring_DESCRIPTION_UNIT_PEGASI"
DESCRIPTION_UNIT_MERE_DRAGONS	"junkstring_DESCRIPTION_UNIT_MERE_DRAGONS"
DESCRIPTION_UNIT_SPRITES	"junkstring_DESCRIPTION_UNIT_SPRITES"
DESCRIPTION_UNIT_GRIFFONS	"junkstring_DESCRIPTION_UNIT_GRIFFONS"
DESCRIPTION_UNIT_SKY_DRAGON	"junkstring_DESCRIPTION_UNIT_SKY_DRAGON"
DESCRIPTION_UNIT_FLAME_STRIKE	"junkstring_DESCRIPTION_UNIT_FLAME_STRIKE"
DESCRIPTION_UNIT_DEMON_STRIKE	"junkstring_DESCRIPTION_UNIT_DEMON_STRIKE"
DESCRIPTION_UNIT_TRIREME	"junkstring_DESCRIPTION_UNIT_TRIREME"
DESCRIPTION_UNIT_CARAVEL	"junkstring_DESCRIPTION_UNIT_CARAVEL"
DESCRIPTION_UNIT_GALLEON	"junkstring_DESCRIPTION_UNIT_GALLEON"
DESCRIPTION_UNIT_GNOMISH_SHIP	"junkstring_DESCRIPTION_UNIT_GNOMISH_SHIP"
DESCRIPTION_UNIT_TRITONS	"junkstring_DESCRIPTION_UNIT_TRITONS"
DESCRIPTION_UNIT_SEA_DRAGON	"junkstring_DESCRIPTION_UNIT_SEA_DRAGON"
DESCRIPTION_UNIT_HYDRA	"junkstring_DESCRIPTION_UNIT_HYDRA"
DESCRIPTION_UNIT_SEA_SERPENT	"junkstring_DESCRIPTION_UNIT_SEA_SERPENT"
DESCRIPTION_UNIT_FLOAT_AVIARY	"junkstring_DESCRIPTION_UNIT_FLOAT_AVIARY"
DESCRIPTION_UNIT_FLOATING_ISLE	"junkstring_DESCRIPTION_UNIT_FLOATING_ISLE"
DESCRIPTION_UNIT_DRAGON_TURTLE	"junkstring_DESCRIPTION_UNIT_DRAGON_TURTLE"
DESCRIPTION_UNIT_SHAMAN	"junkstring_DESCRIPTION_UNIT_SHAMAN"
DESCRIPTION_UNIT_WOODSMEN	"junkstring_DESCRIPTION_UNIT_WOODSMEN"
DESCRIPTION_UNIT_ADVENTURERS	"junkstring_DESCRIPTION_UNIT_ADVENTURERS"
DESCRIPTION_UNIT_PEASANTS	"junkstring_DESCRIPTION_UNIT_PEASANTS"
DESCRIPTION_UNIT_ZOMBIES	"junkstring_DESCRIPTION_UNIT_ZOMBIES"
DESCRIPTION_UNIT_PHANTOM_WARRIORS	"junkstring_DESCRIPTION_UNIT_PHANTOM_WARRIORS"
DESCRIPTION_UNIT_HELL_HOUNDS	"junkstring_DESCRIPTION_UNIT_HELL_HOUNDS"
DESCRIPTION_UNIT_WARBEARS	"junkstring_DESCRIPTION_UNIT_WARBEARS"
DESCRIPTION_UNIT_WARLOCK	"junkstring_DESCRIPTION_UNIT_WARLOCK"
DESCRIPTION_UNIT_ARIEL	"junkstring_DESCRIPTION_UNIT_ARIEL"
DESCRIPTION_UNIT_JAFAR	"junkstring_DESCRIPTION_UNIT_JAFAR"
DESCRIPTION_UNIT_RJAK	"junkstring_DESCRIPTION_UNIT_RJAK"
DESCRIPTION_UNIT_TAURON	"junkstring_DESCRIPTION_UNIT_TAURON"
DESCRIPTION_UNIT_SERENA	"junkstring_DESCRIPTION_UNIT_SERENA"
DESCRIPTION_UNIT_FREYA	"junkstring_DESCRIPTION_UNIT_FREYA"
DESCRIPTION_UNIT_ALORRA	"junkstring_DESCRIPTION_UNIT_ALORRA"
DESCRIPTION_UNIT_ELVEN_ARCHERS	"junkstring_DESCRIPTION_UNIT_ELVEN_ARCHERS"
DESCRIPTION_UNIT_MAGE	"junkstring_DESCRIPTION_UNIT_MAGE"
DESCRIPTION_UNIT_WYVERN	"junkstring_DESCRIPTION_UNIT_WYVERN"
DESCRIPTION_UNIT_KNIGHTS	"junkstring_DESCRIPTION_UNIT_KNIGHTS"
DESCRIPTION_UNIT_UNICORN	"junkstring_DESCRIPTION_UNIT_UNICORN"
DESCRIPTION_UNIT_IRON_GOLEM	"junkstring_DESCRIPTION_UNIT_IRON_GOLEM"
DESCRIPTION_UNIT_STEAM_CANNON	"junkstring_DESCRIPTION_UNIT_STEAM_CANNON"
DESCRIPTION_UNIT_EFREET	"junkstring_DESCRIPTION_UNIT_EFREET"
DESCRIPTION_UNIT_WRAITH	"junkstring_DESCRIPTION_UNIT_WRAITH"
DESCRIPTION_UNIT_GRIFFIN	"junkstring_DESCRIPTION_UNIT_GRIFFIN"
DESCRIPTION_UNIT_PEGASUS	"junkstring_DESCRIPTION_UNIT_PEGASUS"
