id,AllCitizensContent,BonusGold,DecCrimePercent,DecEmpireSize,DecreaseMaintenance,DefaultIcon,Description,EnableAdvance,FreeSlaves,GoldPerInternationalTradeRoute,GoldPerWaterTradeRoute,IncHappinessEmpire,IncKnowledgePercent,IncreaseBoatMovement,IncreaseBrokerages,IncreaseCathedrals,IncreaseFoodAllCities,IncreaseHp,IncreaseProduction,IncreaseRegard,IncreaseScientists,IncreaseSpecialists,ProductionCost,ProtectFromBarbarians,RandomAdvanceChance,ReduceReadinessCost,SpiesEverywhere,TemporaryFullHappiness
WONDER_GAIAS_SHRINE,,,,,,ICON_WONDER_GAIAS_SHRINE,DESCRIPTION_WONDER_GAIAS_SHRINE,ADVANCE_NATURE_ADEPT,,,,,,,,,2,,,,,,3240,,,,,
WONDER_PLEASURE_DOME,,,,,,ICON_WONDER_PLEASURE_DOME,DESCRIPTION_WONDER_PLEASURE_DOME,ADVANCE_SORCERY,,,,2,,,,,,,,,,,3240,,,,,10
WONDER_FONT_OF_BOUNTY,,,,,,ICON_WONDER_FONT_OF_BOUNTY,DESCRIPTION_WONDER_FONT_OF_BOUNTY,ADVANCE_NATURE_MAGIC,,,,,,,,,3,,,,,,3240,,,,,
WONDER_GREAT_LIBRARY,,,,,,ICON_WONDER_GREAT_LIBRARY,DESCRIPTION_WONDER_GREAT_LIBRARY,ADVANCE_LITERACY,,,,,20,,,,,,,,2,,2700,,,,,
WONDER_ORACLE,,,,,,ICON_WONDER_ORACLE,DESCRIPTION_WONDER_ORACLE,ADVANCE_MYSTICISM,,,,2,,,,1,,,,,,,2700,,,,,
WONDER_WALL_OF_BONE,,,,,,ICON_WONDER_WALL_OF_BONE,DESCRIPTION_WONDER_WALL_OF_BONE,ADVANCE_DEATH_ADEPT,,,,,,,,,,,,,,,4500,PreventConversion,,,,
WONDER_GUILD_OF_LEGENDS,,,,,,ICON_WONDER_GUILD_OF_LEGENDS,DESCRIPTION_WONDER_GUILD_OF_LEGENDS,ADVANCE_FEUDALISM,,,,,,,,,,10,,,,,2700,,,50,,
WONDER_RUNE_OF_RULERSHIP,,,,4,,ICON_WONDER_RUNE_OF_RULERSHIP,DESCRIPTION_WONDER_RUNE_OF_RULERSHIP,ADVANCE_RUNE_LORE,,,,,,,,,,,,25,,,2700,,,,,
WONDER_BARDIC_COLLEGE,,,,,,ICON_WONDER_BARDIC_COLLEGE,DESCRIPTION_WONDER_BARDIC_COLLEGE,ADVANCE_TRADE,,,,1,,,,,,,,25,,,2160,,,,,
WONDER_THE_PARTHENON,,,,,,ICON_WONDER_THE_PARTHENON,DESCRIPTION_WONDER_THE_PARTHENON,ADVANCE_THEOLOGY,,,,3,,,,1,,,,,,,2160,,,,,
WONDER_MYSTIC_XS_TOWER,,,,,,ICON_WONDER_MYSTIC_XS_TOWER,DESCRIPTION_WONDER_MYSTIC_XS_TOWER,ADVANCE_ASTROLOGY,,,,,,,,,,,,,,,2160,,10,,,
WONDER_GUNTHARS_VOYAGE,,,,,,ICON_WONDER_GUNTHARS_VOYAGE,DESCRIPTION_WONDER_GUNTHARS_VOYAGE,ADVANCE_NAVIGATION,,,10,,,3,,,,,,,,,5760,,,,,
WONDER_PROSPEROS_CONSERVATORY,,,,,,ICON_WONDER_PROSPEROS_CONSERVATORY,DESCRIPTION_WONDER_PROSPEROS_CONSERVATORY,ADVANCE_HEALING,,,,,15,,,,,,,,,1,4500,,,,,
WONDER_ELIXIR_OF_METAMORPHOSIS,,,,,,ICON_WONDER_ELIXIR_OF_METAMORPHOSIS,DESCRIPTION_WONDER_ELIXIR_OF_METAMORPHOSIS,ADVANCE_METAMORPHOSIS,,,,,,,,,,10,25,,,,3240,,,,,
WONDER_ENCHANTED_GROTTO,,,,,,ICON_WONDER_ENCHANTED_GROTTO,DESCRIPTION_WONDER_ENCHANTED_GROTTO,ADVANCE_LIFE_MAGIC,,,,2,,,,,2,,,,,,2160,,,,,
WONDER_ELDRITCH_COLLEGE,,,,,,ICON_WONDER_ELDRITCH_COLLEGE,DESCRIPTION_WONDER_ELDRITCH_COLLEGE,ADVANCE_ELDRITCH_LORE,,,,,25,,,,,,,,2,,3240,,,,,
WONDER_GNOME_TREASURY,,250,,,,ICON_WONDER_GNOME_TREASURY,DESCRIPTION_WONDER_GNOME_TREASURY,ADVANCE_BANKING,,10,,,,,1,,,,,,,,5760,,,,,
WONDER_REYWINDS_DISCOVERY,,,,,,ICON_WONDER_REYWINDS_DISCOVERY,DESCRIPTION_WONDER_REYWINDS_DISCOVERY,ADVANCE_GREATER_ENCHANTMENTS,,,,,10,,,,,,,,,,5760,,15,,,
WONDER_MESMERS_TOWER,,,30,,,ICON_WONDER_MESMERS_TOWER,DESCRIPTION_WONDER_MESMERS_TOWER,ADVANCE_LESSER_ENCHANMENTS,,,,,,,,,,,,,,,3240,,,,EmbassiesEverywhere,
WONDER_FORGE_OF_CHAOS,,,,,25,ICON_WONDER_FORGE_OF_CHAOS,DESCRIPTION_WONDER_FORGE_OF_CHAOS,ADVANCE_CHAOS_WIZARD,,,,,,,,,,,30,,,,7900,,,,,
