ident,name,cost,upkeep,prerequisite,replaces,terrain_prereq,race_restriction,description
IMPROVE_AIR_SHIP,Air Ship,200,0,,,,be built in Draconian Towns,Air Ship Race Draconians Req. Town Buildings Ship Yard Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 1 Moves 4 Melee Attack per figure 5 Ranged Attack per figure 10 Defense per fi
IMPROVE_ALCHEMISTS_GUILD,Alchemists' Guild,250,0,,,,,"Alchemists' Guild Races All except Gnolls , Klackons , Lizardmen and Trolls . Construction Cost 250 Upkeep Cost 3 Sells for 83 Standard Effects Increases a town's Power output by exactly +3 ."
IMPROVE_ANCIENT_TEMPLE,Ancient Temple,0,0,,,,Wizards possessing any Death books),"An Ancient Temple is one of the seven most basic Encounter Zone types. These are among the easier Encounters (relatively speaking), where the sites themselves have no added functionality."
IMPROVE_ANIMISTS_GUILD,Animists' Guild,300,0,,,,be constructed by the High Elves,Animists' Guild Races High Elves High Men Nomads Orcs Beastmen Dark Elves Draconians Trolls Construction Cost 300 Upkeep Cost 5 Sells for 100 Standard Effects Reduces Unrest by 1.
IMPROVE_ARMORERS_GUILD,Armorers' Guild,350,0,,,,be required in a major unit-production center,Armorers' Guild Races All except Gnolls and Halflings . Construction Cost 350 Upkeep Cost 4 Sells for 116 Building Progression Units Unlocked Racial + Racial + Racial An Armorers' Guild is a type of T
IMPROVE_ARMORY,Armory,80,0,,,,purpose is to act as a storage house for the weapons produced at the Smithy,Armory Races All Construction Cost 80 Upkeep Cost 2 Sells for 26 Building Progression Units Unlocked Standard Racial An Armory is a type of Town Building .
IMPROVE_BANK,Bank,250,0,,,,be built by the High Elves,Bank Races High Elves High Men Nomads Orcs Beastmen Dark Elves Draconians Construction Cost 250 Upkeep Cost 3 Sells for 83 Standard Effects Increases a town's Gold output by 50% of the current amount 
IMPROVE_BARBARIAN_BOWMEN,Barbarian Bowmen,30,0,,,,in yellow trousers,"Barbarian Bowmen Race Barbarians Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1"
IMPROVE_BARBARIAN_CAVALRY,Barbarian Cavalry,60,0,,,,,"Barbarian Cavalry Race Barbarian Req. Town Buildings Barracks , Stables Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resis"
IMPROVE_BARBARIAN_SETTLERS,Barbarian Settlers,60,0,,,,real purpose is to create a new settlement for their Race,Barbarian Settlers Race Barbarian Req. Town Buildings None Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 5 Hit Points per figure 10 Unit A
