element,gameplay,historical
ADVANCE_ALPHABET,,"Before a people can keep accounts, treaties or spellbooks, they must first agree that a mark on clay can stand for a sound. The alphabet is the quiet invention on which every later one rests."
ADVANCE_ANIMISM,,"The oldest reading of the world: that the river, the stone and the storm each carry a will of their own. Animist shamans do not command nature so much as negotiate with it."
ADVANCE_ARTIFICING,,"The craft of binding a spell into a made thing, so that the enchantment outlives the enchanter. An artificer's blade remembers its instructions long after the hand that forged it is dust."
ADVANCE_ASTROLOGY,,"The first systematic attempt to read the future in the fixed order of the sky. Its charts were wrong about destiny and right about the calendar, which proved the more useful gift."
ADVANCE_BRIDGE_BUILDING,,"A river is a wall until someone learns to span it. Bridge building turns a frontier into a road and a besieged province into a supplied one."
ADVANCE_CEREMONIAL_BURIAL,,"Laying out the dead with intent is the first evidence anywhere of a people who believe in something beyond the day. Every temple in history descends from a grave dug carefully."
ADVANCE_CHAOS_ADEPT,,"The first initiation into chaos: the student learns that fire answers willingly and obeys badly. Adepts are recognised less by their skill than by their scars."
ADVANCE_CHAOS_LORE,,"The collected findings of wizards who studied disorder itself, and the smaller collection of those who survived doing so."
ADVANCE_CHAOS_MAGE,,"A chaos mage no longer coaxes the flame but argues with it, and usually wins. The distinction matters to everyone standing nearby."
ADVANCE_CHAOS_MAGIC,,"The discipline of drawing power from the raw unmade, where nothing is stable and therefore nothing is forbidden. Its practitioners trade safety for reach."
ADVANCE_CHAOS_MASTER,,"Mastery of chaos is not control; it is the ability to stand at the centre of something uncontrolled and remain intact."
ADVANCE_CHAOS_WIZARD,,"At the wizard's grade, chaos is no longer a force to be handled but a country to be travelled. Few return unchanged, and fewer return unwilling to go back."
ADVANCE_CHIVALRY,,"A code invented to make heavily armed men on expensive horses tolerable to the people who fed them. It worked well enough to outlive its own cavalry."
ADVANCE_CODE_OF_LAWS,,"The moment a ruling is written down, it stops belonging to the ruler. Written law is the first real limit any sovereign ever accepted."
ADVANCE_CONSTRUCTION,,"Stone laid to a plan rather than to a habit. Construction is what separates a settlement that endures a siege from one that endures a season."
ADVANCE_CURRENCY,,"A token everyone agrees is worth something becomes worth something. Currency lets a farmer trade with a shipwright who does not want grain."
ADVANCE_DEATH_ADEPT,,"The novice necromancer learns the least popular truth in magic: that the dead are a resource, and an obedient one."
ADVANCE_DEATH_LORE,,"Accumulated study of the boundary between living and not, compiled by scholars whom no city willingly houses."
ADVANCE_DEATH_MAGE,,"A death mage commands what was once a person. The price of that power is that no one will ever again sit comfortably beside them."
ADVANCE_DEATH_MAGIC,,"The art of reaching past the end of a life and finding that something still answers. Universally condemned, and widely practised in wartime."
ADVANCE_DEATH_MASTER,,"To master death magic is to stand, for practical purposes, outside the ordinary account of who owes what to whom."
ADVANCE_DEATH_WIZARD,,"The death wizard has stopped negotiating with mortality and started administering it."
ADVANCE_ELDRITCH_LORE,,"Knowledge that predates the peoples who study it, recovered in fragments from places better left unexcavated."
ADVANCE_FORCES_OF_NATURE,,"The recognition that wind, tide and season are not moods but mechanisms, and that a mechanism can be driven."
ADVANCE_FUTURE_TECHNOLOGY,,"Whatever comes after the last thing anyone thought to name. Every age has believed it had reached this point."
ADVANCE_GLYPHS,,"Marks that hold power rather than meaning. A glyph carved correctly will still be working when no one alive can read it."
ADVANCE_GRAND_MASTERY,,"The final grade, at which a wizard's limitation is no longer knowledge or power but judgement."
ADVANCE_GREATER_ENCHANTMENTS,,"Workings laid not on an object or a person but on a place, a season, or an army. Their scale is what makes them greater and what makes them dangerous."
ADVANCE_GREATER_FAUNA_LORE,,"The study of the beasts that were never meant to be catalogued: the ones with opinions, wings, or both."
ADVANCE_HEALING,,"The oldest use anyone ever found for power, and still the one that buys the most loyalty."
ADVANCE_HOLY_WARRIORS,,"Soldiers who fight because they are certain rather than because they are paid. History records both how effective and how unmanageable this is."
ADVANCE_LEADERSHIP,,"The discovery that men will follow a person further than they will follow an order."
ADVANCE_LESSER_ENCHANMENTS,,"Small, durable workings: a blade that will not dull, a granary that will not spoil. Unglamorous magic that quietly wins wars."
ADVANCE_LESSER_FAUNA_LORE,,"Careful observation of ordinary animals, which turns out to be the necessary apprenticeship for handling the extraordinary ones."
ADVANCE_LIFE_ADEPT,,"The first lessons in the magic of vitality, taught almost everywhere and mastered almost nowhere."
ADVANCE_LIFE_LORE,,"The gathered record of what can be mended, what can be strengthened, and what should be left exactly as it is."
ADVANCE_LIFE_MAGE,,"A life mage can return a dying soldier to the line. Armies grasped the strategic implications of this faster than priests grasped the moral ones."
ADVANCE_LIFE_MAGIC,,"Power drawn from growth and continuation rather than from force. The slowest school to show results and the hardest to break."
ADVANCE_LIFE_MASTER,,"At mastery, the life mage's difficulty is no longer healing the wounded but deciding whom not to heal."
ADVANCE_LIFE_WIZARD,,"The life wizard treats mortality as a condition rather than as a verdict."
ADVANCE_LITERACY,,"Writing lets one generation argue with the next. Every institution that outlasts its founder depends on it."
ADVANCE_MAP_MAKING,,"A map is a claim about the world made portable. Empires have been won by the side with the better one."
ADVANCE_MATHEMATICS,,"The discipline of being certain about something you cannot see. Everything from taxation to ballistics follows from it."
ADVANCE_METAMORPHOSIS,,"The art of changing what a thing fundamentally is, rather than merely how it behaves. Reversal is not guaranteed."
ADVANCE_MYSTICISM,,"The conviction that the world has an inside, and the various disciplines invented to get at it."
ADVANCE_NATURE_ADEPT,,"An apprenticeship spent outdoors, learning that the natural world cooperates only with those who have been asking politely for years."
ADVANCE_NATURE_LORE,,"The collected knowledge of growing things, weather and beasts, held mostly by people who distrust cities."
