ident,name,type,melee_attack,ranged_attack,defense,resistance,hit_points,movement,hire_cost,description
HERO_AERIE_THE_ILLUSIONIST,Aerie the Illusionist,Illusionist,1,5,4,6,5,0,500,Aerie The Illusionist Type Champion Hiring Cost 500 Upkeep Cost 10 Prereq.
HERO_ALORRA_THE_ELVEN_ARCHER,Alorra the Elven Archer,Elven Archer,5,8,6,6,6,0,500,Alorra The Elven Archer Type Champion Hiring Cost 500 Upkeep Cost 10 Prereq.
HERO_AUREUS_THE_GOLDEN_ONE,Aureus the Golden One,Golden One,6,6,6,6,6,0,200,Aureus The Golden One Type Non- Champion Hiring Cost 200 Upkeep Cost 4 Prereq.
HERO_B_SHAN_THE_DERVISH,B'Shan the Dervish,Dervish,4,4,4,6,6,0,100,B'Shan The Dervish Type Non- Champion Hiring Cost 100 Upkeep Cost 0 * Prereq.
HERO_BAHGTRU_THE_ORC_WARRIOR,Bahgtru the Orc Warrior,Orc Warrior,6,0,4,6,8,0,100,Bahgtru The Orc Warrior Type Non- Champion Hiring Cost 100 Upkeep Cost 2 Prereq.
HERO_BASILISK,Basilisk,,0,0,0,7,0,0,0,Basilisk Realm Nature Spell Properties Spell Rarity Uncommon Casting Cost 325 Upkeep Cost 7 per turn Research Cost 800 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 15 Defense per fig
HERO_BRAX_THE_DWARF,Brax the Dwarf,Dwarf,5,0,4,10,10,0,100,Brax The Dwarf Type Non- Champion Hiring Cost 100 Upkeep Cost 2 Prereq.
HERO_CALL_THE_VOID,Call the Void,Void,0,0,0,0,0,0,0,"Call the Void Realm Chaos Spell Rarity Very Rare Spell Type Instant Casting Cost 500 Research Cost 5,000 Effects The target Town suffers the following effects, unless protected by Consecration or Chao"
HERO_CATEGORY_HERO_ABILITIES,Category:Hero Abilities,,0,0,0,0,0,0,0,This category contains all articles about abilities that only Heroes can possess.
HERO_CATEGORY_HEROES,Category:Heroes,,0,0,0,0,0,0,0,"This category includes all articles about Heroes and Champions in the game (see also Category:Champions ), and all articles directly pertaining to Heroes and their use."
HERO_DETH_STRYKE_THE_SWORDSMAN,Deth Stryke the Swordsman,Swordsman,6,0,5,6,10,0,500,Deth Stryke The Swordsman Type Champion Hiring Cost 500 Upkeep Cost 10 Prereq.
HERO_ELANA_THE_PRIESTESS,Elana the Priestess,Priestess,2,8,5,6,5,0,500,Elana The Priestess Type Champion Hiring Cost 500 Upkeep Cost 0 * Prereq.
HERO_EXPERIENCE_LEVEL,Experience Level,,0,0,0,0,0,0,0,Experience Level denotes a milestone of Experience Point accumulation by Normal Units and Heroes .
HERO_FANG_THE_DRACONIAN,Fang the Draconian,Draconian,7,0,5,6,8,0,200,Fang The Draconian Type Non- Champion Hiring Cost 200 Upkeep Cost 4 Prereq.
HERO_GREYFAIRER_THE_DRUID,Greyfairer the Druid,Druid,1,8,5,6,5,0,150,Greyfairer The Druid Type Non- Champion Hiring Cost 150 Upkeep Cost 3 Prereq. 5 Moves 2 Melee Attack 1 Ranged Attack 8 Defense 5 Resistance 6 Hit Points 5 Equipment Slots Hero Abilities Caster ( 7.
HERO_GUNTHER_THE_BARBARIAN,Gunther the Barbarian,Barbarian,5,0,3,6,9,0,100,Gunther The Barbarian Type Non- Champion Hiring Cost 100 Upkeep Cost 2 Prereq.
HERO_HERO,Hero,,0,0,0,0,0,0,0,"There are 3 different types of units in Master of Magic: Heroes , Normal Units , and Fantastic Units . Heroes behave in many ways like Normal Units , but they have important differences as well."
HERO_HERO_ABILITIES,Hero Abilities,,0,0,0,0,0,0,0,Hero Abilities is a subset of the wide variety of Unit Abilities available in Master of Magic .
HERO_HERO_STRATEGY,Hero Strategy,,0,0,0,0,0,0,0,A Hero Strategy is a winning strategy that relies on Heroes instead of Normal Units or Fantastic Units . There's one strategy that is considered by far the best. It is explained further below.
HERO_HEROISM,Heroism,,0,0,0,0,0,0,0,Heroism Realm Life Spell Rarity Common Spell Type Unit Enchantment Casting Cost 100 Combat Cost 20 Upkeep Cost 2 Research Cost 250 Effects Target Normal Unit 's or Hero 's Experience Level is raised t
