ident,name,race,melee_attack,ranged_attack,defense,resistance,hit_points,movement,build_cost,upkeep,requires_building,description
UNIT_BAHGTRU_THE_ORC_WARRIOR,Bahgtru the Orc Warrior,Orc,6,0,4,6,8,0,0,0,,Bahgtru The Orc Warrior Type Non- Champion Hiring Cost 100 Upkeep Cost 2 Prereq.
UNIT_BARBARIAN_BOWMEN,Barbarian Bowmen,Barbarian,0,0,0,5,0,0,30,0,,"Barbarian Bowmen Race Barbarians Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1"
UNIT_BARBARIAN_CAVALRY,Barbarian Cavalry,Barbarian,0,0,0,5,0,0,60,0,,"Barbarian Cavalry Race Barbarian Req. Town Buildings Barracks , Stables Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resis"
UNIT_BARBARIAN_SHAMANS,Barbarian Shamans,Barbarian,0,0,0,7,0,0,50,0,,Barbarian Shamans Race Barbarians Req. Town Buildings Shrine Construction Cost 50 Upkeep Cost 1 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Defens
UNIT_BARBARIAN_SPEARMEN,Barbarian Spearmen,Barbarian,0,0,0,5,0,0,15,0,,Barbarian Spearmen Race Barbarians Req. Town Buildings None Construction Cost 15 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 5 Hit Po
UNIT_BARBARIAN_SWORDSMEN,Barbarian Swordsmen,Barbarian,0,0,0,5,0,0,30,0,,"Barbarian Swordsmen Race Barbarians Req. Town Buildings Barracks , Smithy Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Res"
UNIT_BEASTMEN_BOWMEN,Beastmen Bowmen,Beastmen,0,0,0,5,0,0,60,0,,"Beastmen Bowmen Race Beastmen Req. Town Buildings Barracks , Sawmill Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 1 De"
UNIT_BEASTMEN_ENGINEERS,Beastmen Engineers,Beastmen,0,0,0,5,0,0,60,0,,Beastmen Engineers Race Beastmen Req. Town Buildings Builders' Hall Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 2 Defense per figure 1 Resistanc
UNIT_BEASTMEN_HALBERDIERS,Beastmen Halberdiers,Beastmen,0,0,0,5,0,0,80,0,,Beastmen Halberdiers Race Beastmen Req. Town Buildings Armory Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 5 Defense per figure 3 Resistance 5 Hi
UNIT_BEASTMEN_MAGICIANS,Beastmen Magicians,Beastmen,0,0,0,9,0,0,180,0,,Beastmen Magicians Race Beastmen Req. Town Buildings Wizards' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 5 ( 
UNIT_BEASTMEN_PRIESTS,Beastmen Priests,Beastmen,0,0,0,8,0,0,150,0,,Beastmen Priests Race Beastmen Req. Town Buildings Parthenon Construction Cost 150 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 4 Ranged Attack per figure 4 ( ) Defen
UNIT_BEASTMEN_SETTLERS,Beastmen Settlers,Beastmen,0,0,0,5,0,0,120,0,,Beastmen Settlers Race Beastmen Req. Town Buildings None Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance 5 Hit Po
