advance,name,category,age
ADVANCE_BEAST_MASTERY,Beast Mastery,3,AGE_ONE
ADVANCE_BESERKER_TRAINING,Berserker Training,4,AGE_ONE
ADVANCE_CENTAUR_TRAINING,Centaur Training,3,AGE_ONE
ADVANCE_CITY_WIDE_ENCHANTMENT,City Wide Enchantment,3,AGE_TWO
ADVANCE_CRUSADE,Crusade,0,AGE_TWO
ADVANCE_DARK_KNOWLEDGE,Dark Knowledge,3,AGE_ONE
ADVANCE_DRACONIC,Draconic,3,AGE_TWO
ADVANCE_ELF_NOBILITY,Elf Nobility,3,AGE_ONE
ADVANCE_EXPLORATION,Exploration,0,AGE_ONE
ADVANCE_FIRE_MAGIC,Fire Magic,3,AGE_ONE
ADVANCE_FOREST_LORE,Forest Lore,3,AGE_ONE
ADVANCE_GALLEONS,Galleons,0,AGE_TWO
ADVANCE_GREAT_DRAGONS,Great Dragons,3,AGE_TWO
ADVANCE_HEROISM,Heroism,0,AGE_ONE
ADVANCE_HORSEMANSHIP,Horsemanship,0,AGE_ONE
ADVANCE_INSECT_MAGIC,Insect Magic,3,AGE_ONE
ADVANCE_INTERCHANGABLE_PARTS,Interchangeable Parts,4,AGE_TWO
ADVANCE_MAGICAL_ENGINEERING,Magical Engineering,3,AGE_ONE
ADVANCE_MARKSMANSHIP,Marksmanship,4,AGE_ONE
ADVANCE_MONSTER_SUMMONING,Monster Summoning,3,AGE_TWO
ADVANCE_MYTHICAL_BEASTS,Mythical Beasts,3,AGE_TWO
ADVANCE_SAILING,Sailing,0,AGE_ONE
ADVANCE_SEA_DRAGONS,Sea Dragons,3,AGE_TWO
ADVANCE_SEA_MAGIC,Sea Magic,3,AGE_ONE
ADVANCE_SLING_MAKING,Sling Making,4,AGE_ONE
ADVANCE_SPEAR_WORKING,Spear Working,4,AGE_ONE
ADVANCE_STORM_MAGIC,Storm Magic,3,AGE_ONE
ADVANCE_SWORD_WORKING,Sword Working,4,AGE_ONE
ADVANCE_WIZARD_GUILD,Wizard Guild,3,AGE_TWO
ADVANCE_COMPUTERS,Computers,0,AGE_THREE
ADVANCE_CONSUMER_ELECTRONICS,Consumer Electronics,0,AGE_THREE
ADVANCE_CRYONICS,Cryonics,0,AGE_THREE
ADVANCE_DOMESTICATION,Domestication,0,AGE_ONE
ADVANCE_ELECTRIFICATION,Electrification,0,AGE_THREE
ADVANCE_ENVIRONMENTALISM,Environmentalism,0,AGE_THREE
ADVANCE_MECHANICAL_CLOCK,Mechanical Clock,0,AGE_TWO
ADVANCE_MIND_CONTROL,Mind Control,0,AGE_THREE
ADVANCE_NANOASSEMBLY,Nanoassembly,0,AGE_THREE
ADVANCE_NEURAL_SILICON_INTERFACE,Neural Silicon Interface,0,AGE_THREE
ADVANCE_PERSPECTIVE,Perspective,0,AGE_TWO
ADVANCE_SUPERCONDUCTOR,Superconductor,0,AGE_THREE
ADVANCE_UNIFIED_FIELD_THEORY,Unified Field Theory,0,AGE_THREE
