key,field_type,ae_count,cradle_count,aom_count,uses,sample
Age,kv,107,281,211,599,AGE_EIGHT
Branch,kv,107,281,211,599,0
Cost,kv,107,281,211,599,1
Icon,kv,107,281,211,599,ICON_ADVANCE_ADVANCED_COMPOSITES
Prerequisites,kv,198,478,360,583,ADVANCE_ADVANCED_COMPOSITES
GLHidden,flag,1,270,1,271,
TriggerFeat,kv,6,12,6,24,FEAT_ADVANCE_BUDDHISM
KeyAdvanceAdvice,kv,7,7,7,21,KEY_GROWTH_ADVANCE_ADVICE
PollutionProductionModifier,kv,2,3,3,8,-1
PollutionSizeModifier,kv,2,3,3,8,-1
Railroads,flag,1,1,2,4,
Capitalization,flag,1,1,1,3,
DeepOcean,flag,1,1,1,3,
Infrastructure,flag,1,1,1,3,
MagLev,flag,1,1,1,3,
PlantNuke,flag,1,1,1,3,
Roads,flag,1,1,1,3,
Transform,flag,1,1,1,3,
Tunnels,flag,1,0,0,1,
