block_id,seq,type,key,val
ICON_ADVANCE_ADV_INFANTRY_TACTICS,0,kv,FirstFrame,"""CM2_UPAP001L.TGA"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,1,kv,Movie,"""NULL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,2,kv,Gameplay,"""ADVANCE_ADV_INFANTRY_TACTICS_GAMEPLAY"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,3,kv,Historical,"""ADVANCE_ADV_INFANTRY_TACTICS_HISTORICAL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,4,kv,Prereq,"""ADVANCE_ADV_INFANTRY_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,5,kv,Vari,"""ADVANCE_ADV_INFANTRY_TACTICS_STATISTICS"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,6,kv,Icon,"""CM2_UPAP001L.TGA"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,7,kv,LargeIcon,"""NULL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,8,kv,SmallIcon,"""NULL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,9,kv,StatText,"""ADVANCE_ADV_INFANTRY_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,0,kv,FirstFrame,"""CM2_UPAP002L.TGA"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,1,kv,Movie,"""NULL"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,2,kv,Gameplay,"""ADVANCE_ADV_NAVAL_TACTICS_GAMEPLAY"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,3,kv,Historical,"""ADVANCE_ADV_NAVAL_TACTICS_HISTORICAL"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,4,kv,Prereq,"""ADVANCE_ADV_NAVAL_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,5,kv,Vari,"""ADVANCE_ADV_NAVAL_TACTICS_STATISTICS"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,6,kv,Icon,"""CM2_UPAP002L.TGA"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,7,kv,LargeIcon,"""NULL"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,8,kv,SmallIcon,"""NULL"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,9,kv,StatText,"""ADVANCE_ADV_NAVAL_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_URBAN_PLANNING,0,kv,FirstFrame,"""CM2_UPAP003L.TGA"""
ICON_ADVANCE_ADV_URBAN_PLANNING,1,kv,Movie,"""NULL"""
ICON_ADVANCE_ADV_URBAN_PLANNING,2,kv,Gameplay,"""ADVANCE_ADV_URBAN_PLANNING_GAMEPLAY"""
ICON_ADVANCE_ADV_URBAN_PLANNING,3,kv,Historical,"""ADVANCE_ADV_URBAN_PLANNING_HISTORICAL"""
ICON_ADVANCE_ADV_URBAN_PLANNING,4,kv,Prereq,"""ADVANCE_ADV_URBAN_PLANNING_PREREQ"""
ICON_ADVANCE_ADV_URBAN_PLANNING,5,kv,Vari,"""ADVANCE_ADV_URBAN_PLANNING_STATISTICS"""
ICON_ADVANCE_ADV_URBAN_PLANNING,6,kv,Icon,"""CM2_UPAP003L.TGA"""
ICON_ADVANCE_ADV_URBAN_PLANNING,7,kv,LargeIcon,"""NULL"""
ICON_ADVANCE_ADV_URBAN_PLANNING,8,kv,SmallIcon,"""NULL"""
ICON_ADVANCE_ADV_URBAN_PLANNING,9,kv,StatText,"""ADVANCE_ADV_URBAN_PLANNING_PREREQ"""
ICON_ADVANCE_ADVANCED_COMPOSITES,0,kv,FirstFrame,"""CM2_UPAP004L.TGA"""
ICON_ADVANCE_ADVANCED_COMPOSITES,1,kv,Movie,"""NULL"""
ICON_ADVANCE_ADVANCED_COMPOSITES,2,kv,Gameplay,"""ADVANCE_ADVANCED_COMPOSITES_GAMEPLAY"""
ICON_ADVANCE_ADVANCED_COMPOSITES,3,kv,Historical,"""ADVANCE_ADVANCED_COMPOSITES_HISTORICAL"""
ICON_ADVANCE_ADVANCED_COMPOSITES,4,kv,Prereq,"""ADVANCE_ADVANCED_COMPOSITES_PREREQ"""
ICON_ADVANCE_ADVANCED_COMPOSITES,5,kv,Vari,"""ADVANCE_ADVANCED_COMPOSITES_STATISTICS"""
ICON_ADVANCE_ADVANCED_COMPOSITES,6,kv,Icon,"""CM2_UPAP004L.TGA"""
ICON_ADVANCE_ADVANCED_COMPOSITES,7,kv,LargeIcon,"""NULL"""
ICON_ADVANCE_ADVANCED_COMPOSITES,8,kv,SmallIcon,"""NULL"""
ICON_ADVANCE_ADVANCED_COMPOSITES,9,kv,StatText,"""ADVANCE_ADVANCED_COMPOSITES_PREREQ"""
ICON_ADVANCE_AERODYNAMICS,0,kv,FirstFrame,"""CM2_UPAP005L.TGA"""
