block_id,seq,type,key,val
ADVANCE_ADV_INFANTRY_TACTICS,0,kv,Prerequisites,ADVANCE_MILITARY_TRADITION
ADVANCE_ADV_INFANTRY_TACTICS,1,kv,Prerequisites,ADVANCE_ADV_NAVAL_TACTICS
ADVANCE_ADV_INFANTRY_TACTICS,2,kv,Cost,85800
ADVANCE_ADV_INFANTRY_TACTICS,3,kv,Icon,ICON_ADVANCE_ADV_INFANTRY_TACTICS
ADVANCE_ADV_INFANTRY_TACTICS,4,kv,Branch,0
ADVANCE_ADV_INFANTRY_TACTICS,5,kv,Age,AGE_SIX
ADVANCE_ADV_NAVAL_TACTICS,0,kv,Prerequisites,ADVANCE_STEEL
ADVANCE_ADV_NAVAL_TACTICS,1,kv,Cost,68750
ADVANCE_ADV_NAVAL_TACTICS,2,kv,Icon,ICON_ADVANCE_ADV_NAVAL_TACTICS
ADVANCE_ADV_NAVAL_TACTICS,3,kv,Branch,0
ADVANCE_ADV_NAVAL_TACTICS,4,kv,Age,AGE_SIX
ADVANCE_ADV_URBAN_PLANNING,0,kv,Prerequisites,ADVANCE_MASS_TRANSIT
ADVANCE_ADV_URBAN_PLANNING,1,kv,Prerequisites,ADVANCE_MODERN_METALLURGY
ADVANCE_ADV_URBAN_PLANNING,2,kv,Cost,90890
ADVANCE_ADV_URBAN_PLANNING,3,kv,Icon,ICON_ADVANCE_ADV_URBAN_PLANNING
ADVANCE_ADV_URBAN_PLANNING,4,kv,Branch,0
ADVANCE_ADV_URBAN_PLANNING,5,kv,Age,AGE_SIX
ADVANCE_ADVANCED_COMPOSITES,0,kv,Prerequisites,ADVANCE_CONSERVATION
ADVANCE_ADVANCED_COMPOSITES,1,kv,Prerequisites,ADVANCE_SUPERSONIC_FLIGHT
ADVANCE_ADVANCED_COMPOSITES,2,kv,Cost,110950
ADVANCE_ADVANCED_COMPOSITES,3,kv,Icon,ICON_ADVANCE_ADVANCED_COMPOSITES
ADVANCE_ADVANCED_COMPOSITES,4,kv,Branch,0
ADVANCE_ADVANCED_COMPOSITES,5,kv,Age,AGE_SEVEN
ADVANCE_AERODYNAMICS,0,kv,Prerequisites,ADVANCE_FLIGHT
ADVANCE_AERODYNAMICS,1,kv,Cost,68710
ADVANCE_AERODYNAMICS,2,kv,Icon,ICON_ADVANCE_AERODYNAMICS
ADVANCE_AERODYNAMICS,3,kv,Branch,0
ADVANCE_AERODYNAMICS,4,kv,Age,AGE_SIX
