block_id,seq,type,key,val
ICON_ADVANCE_ADV_INFANTRY_TACTICS,0,kv,FirstFrame,"""UPAP001L.TGA"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,1,kv,Movie,"""NULL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,2,kv,Gameplay,"""ADVANCE_ADV_INFANTRY_TACTICS_GAMEPLAY"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,3,kv,Historical,"""ADVANCE_ADV_INFANTRY_TACTICS_HISTORICAL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,4,kv,Prereq,"""ADVANCE_ADV_INFANTRY_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,5,kv,Vari,"""ADVANCE_ADV_INFANTRY_TACTICS_STATISTICS"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,6,kv,Icon,"""UPAP001L.TGA"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,7,kv,LargeIcon,"""NULL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,8,kv,SmallIcon,"""NULL"""
ICON_ADVANCE_ADV_INFANTRY_TACTICS,9,kv,StatText,"""ADVANCE_ADV_INFANTRY_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,0,kv,FirstFrame,"""UPAP002L.TGA"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,1,kv,Movie,"""NULL"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,2,kv,Gameplay,"""ADVANCE_ADV_NAVAL_TACTICS_GAMEPLAY"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,3,kv,Historical,"""ADVANCE_ADV_NAVAL_TACTICS_HISTORICAL"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,4,kv,Prereq,"""ADVANCE_ADV_NAVAL_TACTICS_PREREQ"""
ICON_ADVANCE_ADV_NAVAL_TACTICS,5,kv,Vari,"""ADVANCE_ADV_NAVAL_TACTICS_STATISTICS"""
