block_id,seq,type,key,val
UNIT_SPEARMAN_MILITIA,0,flag,CantBuild,
UNIT_SPEARMAN_MILITIA,1,kv,Description,DESCRIPTION_UNIT_WARRIOR
UNIT_SPEARMAN_MILITIA,2,kv,DefaultIcon,ICON_UNIT_SPEARMAN_MILITIA
UNIT_SPEARMAN_MILITIA,3,kv,DefaultSprite,SPRITE_SPEARMAN
UNIT_SPEARMAN_MILITIA,4,kv,Category,UNIT_CATEGORY_DEFENSE
UNIT_SPEARMAN_MILITIA,5,kv,Attack,15
UNIT_SPEARMAN_MILITIA,6,kv,Defense,15
UNIT_SPEARMAN_MILITIA,7,kv,ZBRangeAttack,0
UNIT_SPEARMAN_MILITIA,8,kv,Firepower,1
UNIT_SPEARMAN_MILITIA,9,kv,Armor,1
UNIT_SPEARMAN_MILITIA,10,kv,MaxHP,13
UNIT_SPEARMAN_MILITIA,11,kv,ShieldCost,180
UNIT_SPEARMAN_MILITIA,12,kv,PowerPoints,82
UNIT_SPEARMAN_MILITIA,13,kv,ShieldHunger,1
UNIT_SPEARMAN_MILITIA,14,kv,FoodHunger,0
UNIT_SPEARMAN_MILITIA,15,kv,MaxMovePoints,0
UNIT_SPEARMAN_MILITIA,16,kv,VisionRange,1
UNIT_SPEARMAN_MILITIA,17,kv,EnableAdvance,ADVANCE_HEXTAPUL
UNIT_SPEARMAN_MILITIA,18,kv,ActiveDefenseRange,0
UNIT_SPEARMAN_MILITIA,19,flag,LossMoveToDmgNone,
UNIT_SPEARMAN_MILITIA,20,kv,MaxFuel,0
UNIT_SPEARMAN_MILITIA,21,flag,CanEntrench,
UNIT_SPEARMAN_MILITIA,22,flag,NoZoc,
UNIT_SPEARMAN_MILITIA,23,flag,CanExpel,
UNIT_SPEARMAN_MILITIA,24,flag,CanPillage,
UNIT_SPEARMAN_MILITIA,25,flag,CanPirate,
UNIT_SPEARMAN_MILITIA,26,flag,ExertsMartialLaw,
UNIT_SPEARMAN_MILITIA,27,flag,DeathEffectsHappy,
UNIT_SPEARMAN_MILITIA,28,kv,SoundSelect1,SOUND_SELECT1_PIKEMEN
UNIT_SPEARMAN_MILITIA,29,kv,SoundSelect2,SOUND_SELECT2_PIKEMEN
UNIT_SPEARMAN_MILITIA,30,kv,SoundMove,SOUND_MOVE_PIKEMEN
UNIT_SPEARMAN_MILITIA,31,kv,SoundAcknowledge,SOUND_ACKNOWLEDGE_PIKEMEN
UNIT_SPEARMAN_MILITIA,32,kv,SoundCantMove,SOUND_CANTMOVE_PIKEMEN
UNIT_SPEARMAN_MILITIA,33,kv,SoundAttack,SOUND_ATTACK_PIKEMEN
UNIT_SPEARMAN_MILITIA,34,kv,SoundWork,SOUND_WORK_PIKEMEN
UNIT_SPEARMAN_MILITIA,35,kv,SoundVictory,SOUND_VICTORY_PIKEMEN
UNIT_SPEARMAN_MILITIA,36,kv,SoundDeath,SOUND_DEATH_PIKEMEN
UNIT_SPEARMAN_MILITIA,37,sublist,CanAttack,Land
UNIT_SPEARMAN_MILITIA,38,sublist,CanAttack,Mountain
UNIT_SPEARMAN_MILITIA,39,sublist,CanSee,Standard
UNIT_SPEARMAN_MILITIA,40,sublist,MovementType,Land
UNIT_SPEARMAN_MILITIA,41,sublist,MovementType,Mountain
UNIT_SPEARMAN_MILITIA,42,sublist,Size,Medium
UNIT_SPEARMAN_MILITIA,43,sublist,VisionClass,Standard
UNIT_SPEARMAN_MILITIA,44,nested,CanReform,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_REFORM_CITY""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_REFORMCITY""}]"
UNIT_HOPLITE_MILITIA,0,flag,CantBuild,
UNIT_HOPLITE_MILITIA,1,kv,Description,DESCRIPTION_UNIT_HOPLITE
UNIT_HOPLITE_MILITIA,2,kv,DefaultIcon,ICON_UNIT_HOPLITE_MILITIA
UNIT_HOPLITE_MILITIA,3,kv,DefaultSprite,SPRITE_HOPLITE
UNIT_HOPLITE_MILITIA,4,kv,Category,UNIT_CATEGORY_DEFENSE
UNIT_HOPLITE_MILITIA,5,kv,Attack,15
UNIT_HOPLITE_MILITIA,6,kv,Defense,20
UNIT_HOPLITE_MILITIA,7,kv,ZBRangeAttack,0
UNIT_HOPLITE_MILITIA,8,kv,Firepower,1
UNIT_HOPLITE_MILITIA,9,kv,Armor,1
UNIT_HOPLITE_MILITIA,10,kv,MaxHP,14
UNIT_HOPLITE_MILITIA,11,kv,ShieldCost,280
UNIT_HOPLITE_MILITIA,12,kv,PowerPoints,82
UNIT_HOPLITE_MILITIA,13,kv,ShieldHunger,2
UNIT_HOPLITE_MILITIA,14,kv,FoodHunger,0
UNIT_HOPLITE_MILITIA,15,kv,MaxMovePoints,0
UNIT_HOPLITE_MILITIA,16,kv,VisionRange,1
UNIT_HOPLITE_MILITIA,17,kv,EnableAdvance,ADVANCE_HEXTAPUL
UNIT_HOPLITE_MILITIA,18,kv,ActiveDefenseRange,0
UNIT_HOPLITE_MILITIA,19,flag,LossMoveToDmgNone,
UNIT_HOPLITE_MILITIA,20,kv,MaxFuel,0
UNIT_HOPLITE_MILITIA,21,flag,CanEntrench,
UNIT_HOPLITE_MILITIA,22,flag,NoZoc,
UNIT_HOPLITE_MILITIA,23,flag,CanExpel,
UNIT_HOPLITE_MILITIA,24,flag,CanPillage,
UNIT_HOPLITE_MILITIA,25,flag,CanPirate,
UNIT_HOPLITE_MILITIA,26,flag,ExertsMartialLaw,
UNIT_HOPLITE_MILITIA,27,flag,DeathEffectsHappy,
UNIT_HOPLITE_MILITIA,28,kv,SoundSelect1,SOUND_SELECT1_HOPLITE
UNIT_HOPLITE_MILITIA,29,kv,SoundSelect2,SOUND_SELECT2_HOPLITE
UNIT_HOPLITE_MILITIA,30,kv,SoundMove,SOUND_MOVE_HOPLITE
UNIT_HOPLITE_MILITIA,31,kv,SoundAcknowledge,SOUND_ACKNOWLEDGE_HOPLITE
UNIT_HOPLITE_MILITIA,32,kv,SoundCantMove,SOUND_CANTMOVE_HOPLITE
UNIT_HOPLITE_MILITIA,33,kv,SoundAttack,SOUND_ATTACK_HOPLITE
UNIT_HOPLITE_MILITIA,34,kv,SoundWork,SOUND_WORK_HOPLITE
UNIT_HOPLITE_MILITIA,35,kv,SoundVictory,SOUND_VICTORY_HOPLITE
UNIT_HOPLITE_MILITIA,36,kv,SoundDeath,SOUND_DEATH_HOPLITE
UNIT_HOPLITE_MILITIA,37,sublist,CanAttack,Land
UNIT_HOPLITE_MILITIA,38,sublist,CanAttack,Mountain
UNIT_HOPLITE_MILITIA,39,sublist,CanSee,Standard
UNIT_HOPLITE_MILITIA,40,sublist,MovementType,Land
UNIT_HOPLITE_MILITIA,41,sublist,MovementType,Mountain
UNIT_HOPLITE_MILITIA,42,sublist,Size,Medium
UNIT_HOPLITE_MILITIA,43,sublist,VisionClass,Standard
UNIT_HOPLITE_MILITIA,44,nested,CanReform,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_REFORM_CITY""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_REFORMCITY""}]"
UNIT_LEGION_MILITIA,0,flag,CantBuild,
UNIT_LEGION_MILITIA,1,kv,Description,DESCRIPTION_UNIT_KNIGHT
UNIT_LEGION_MILITIA,2,kv,DefaultIcon,ICON_UNIT_LEGION_MILITIA
UNIT_LEGION_MILITIA,3,kv,DefaultSprite,SPRITE_LEGION
UNIT_LEGION_MILITIA,4,kv,Category,UNIT_CATEGORY_ATTACK
UNIT_LEGION_MILITIA,5,kv,Attack,30
UNIT_LEGION_MILITIA,6,kv,Defense,25
UNIT_LEGION_MILITIA,7,kv,ZBRangeAttack,0
UNIT_LEGION_MILITIA,8,kv,Firepower,2
UNIT_LEGION_MILITIA,9,kv,Armor,1
UNIT_LEGION_MILITIA,10,kv,MaxHP,16
UNIT_LEGION_MILITIA,11,kv,ShieldCost,525
UNIT_LEGION_MILITIA,12,kv,PowerPoints,82
UNIT_LEGION_MILITIA,13,kv,ShieldHunger,5
UNIT_LEGION_MILITIA,14,kv,FoodHunger,0
UNIT_LEGION_MILITIA,15,kv,MaxMovePoints,0
UNIT_LEGION_MILITIA,16,kv,VisionRange,1
UNIT_LEGION_MILITIA,17,kv,EnableAdvance,ADVANCE_HEXTAPUL
UNIT_LEGION_MILITIA,18,kv,ActiveDefenseRange,0
UNIT_LEGION_MILITIA,19,flag,LossMoveToDmgNone,
UNIT_LEGION_MILITIA,20,kv,MaxFuel,0
UNIT_LEGION_MILITIA,21,flag,CanEntrench,
UNIT_LEGION_MILITIA,22,flag,NoZoc,
UNIT_LEGION_MILITIA,23,flag,CanExpel,
UNIT_LEGION_MILITIA,24,flag,CanPillage,
UNIT_LEGION_MILITIA,25,flag,CanPirate,
UNIT_LEGION_MILITIA,26,flag,ExertsMartialLaw,
UNIT_LEGION_MILITIA,27,flag,DeathEffectsHappy,
UNIT_LEGION_MILITIA,28,kv,SoundSelect1,SOUND_SELECT1_SAMURAI
UNIT_LEGION_MILITIA,29,kv,SoundSelect2,SOUND_SELECT2_SAMURAI
UNIT_LEGION_MILITIA,30,kv,SoundMove,SOUND_MOVE_SAMURAI
UNIT_LEGION_MILITIA,31,kv,SoundAcknowledge,SOUND_ACKNOWLEDGE_SAMURAI
UNIT_LEGION_MILITIA,32,kv,SoundCantMove,SOUND_CANTMOVE_SAMURAI
