block_id,seq,type,key,val
UNIT_ABOLITIONIST,0,kv,Description,DESCRIPTION_UNIT_ABOLITIONIST
UNIT_ABOLITIONIST,1,kv,DefaultIcon,ICON_UNIT_ABOLITIONIST
UNIT_ABOLITIONIST,2,kv,DefaultSprite,SPRITE_ABOLITIONIST
UNIT_ABOLITIONIST,3,kv,Category,UNIT_CATEGORY_SPECIAL
UNIT_ABOLITIONIST,4,kv,Attack,0
UNIT_ABOLITIONIST,5,kv,Defense,10
UNIT_ABOLITIONIST,6,kv,ZBRangeAttack,0
UNIT_ABOLITIONIST,7,kv,Firepower,1
UNIT_ABOLITIONIST,8,kv,Armor,1
UNIT_ABOLITIONIST,9,kv,MaxHP,10
UNIT_ABOLITIONIST,10,kv,ShieldCost,540
UNIT_ABOLITIONIST,11,kv,PowerPoints,250
UNIT_ABOLITIONIST,12,kv,ShieldHunger,5
UNIT_ABOLITIONIST,13,kv,GoldHunger,5
UNIT_ABOLITIONIST,14,kv,FoodHunger,0
UNIT_ABOLITIONIST,15,kv,MaxMovePoints,300
UNIT_ABOLITIONIST,16,kv,VisionRange,1
UNIT_ABOLITIONIST,17,kv,EnableAdvance,ADVANCE_CLASSICAL_EDUCATION
UNIT_ABOLITIONIST,18,kv,ActiveDefenseRange,0
UNIT_ABOLITIONIST,19,flag,LossMoveToDmgNone,
UNIT_ABOLITIONIST,20,kv,MaxFuel,0
UNIT_ABOLITIONIST,21,flag,IgnoreZOC,
UNIT_ABOLITIONIST,22,flag,NoZoc,
UNIT_ABOLITIONIST,23,flag,CanBeExpelled,
UNIT_ABOLITIONIST,24,flag,CantCaptureCity,
UNIT_ABOLITIONIST,25,flag,NoSlaves,
UNIT_ABOLITIONIST,26,flag,IsSpecialForces,
UNIT_ABOLITIONIST,27,flag,Civilian,
UNIT_ABOLITIONIST,28,flag,InvisibleForGlobeSat,
UNIT_ABOLITIONIST,29,kv,SoundSelect1,SOUND_SELECT1_ABOLITIONIST
UNIT_ABOLITIONIST,30,kv,SoundSelect2,SOUND_SELECT2_ABOLITIONIST
UNIT_ABOLITIONIST,31,kv,SoundMove,SOUND_MOVE_ABOLITIONIST
UNIT_ABOLITIONIST,32,kv,SoundAcknowledge,SOUND_ACKNOWLEDGE_ABOLITIONIST
