block_id,seq,type,key,val
ADVANCE_ADV_INFANTRY_TACTICS,0,kv,Prerequisites,ADVANCE_NAVAL_AVIATION
ADVANCE_ADV_INFANTRY_TACTICS,1,kv,Prerequisites,ADVANCE_VERTICAL_FLIGHT_AIRCRAFT
ADVANCE_ADV_INFANTRY_TACTICS,2,kv,Cost,72800
ADVANCE_ADV_INFANTRY_TACTICS,3,kv,Icon,ICON_ADVANCE_ADV_INFANTRY_TACTICS
ADVANCE_ADV_INFANTRY_TACTICS,4,kv,Branch,0
ADVANCE_ADV_INFANTRY_TACTICS,5,kv,Age,AGE_SIX
ADVANCE_ADV_INFANTRY_TACTICS,6,flag,GLHidden,
ADVANCE_ADV_NAVAL_TACTICS,0,kv,Prerequisites,ADVANCE_EXPLOSIVES
ADVANCE_ADV_NAVAL_TACTICS,1,kv,Prerequisites,ADVANCE_MASS_PRODUCTION
ADVANCE_ADV_NAVAL_TACTICS,2,kv,Cost,54750
ADVANCE_ADV_NAVAL_TACTICS,3,kv,Icon,ICON_ADVANCE_ADV_NAVAL_TACTICS
ADVANCE_ADV_NAVAL_TACTICS,4,kv,Branch,0
ADVANCE_ADV_NAVAL_TACTICS,5,kv,Age,AGE_SIX
ADVANCE_ADV_NAVAL_TACTICS,6,flag,GLHidden,
ADVANCE_ADV_URBAN_PLANNING,0,kv,Prerequisites,ADVANCE_MASS_TRANSIT
ADVANCE_ADV_URBAN_PLANNING,1,kv,Prerequisites,ADVANCE_MODERN_METALLURGY
ADVANCE_ADV_URBAN_PLANNING,2,kv,Cost,72890
ADVANCE_ADV_URBAN_PLANNING,3,kv,Icon,ICON_ADVANCE_ADV_URBAN_PLANNING
ADVANCE_ADV_URBAN_PLANNING,4,kv,Branch,0
ADVANCE_ADV_URBAN_PLANNING,5,kv,Age,AGE_SIX
ADVANCE_ADV_URBAN_PLANNING,6,flag,GLHidden,
ADVANCE_ADVANCED_COMPOSITES,0,kv,Prerequisites,ADVANCE_CONSERVATION
ADVANCE_ADVANCED_COMPOSITES,1,kv,Prerequisites,ADVANCE_SUPERSONIC_FLIGHT
ADVANCE_ADVANCED_COMPOSITES,2,kv,Cost,96950
ADVANCE_ADVANCED_COMPOSITES,3,kv,Icon,ICON_ADVANCE_ADVANCED_COMPOSITES
ADVANCE_ADVANCED_COMPOSITES,4,kv,Branch,0
ADVANCE_ADVANCED_COMPOSITES,5,kv,Age,AGE_SEVEN
ADVANCE_ADVANCED_COMPOSITES,6,flag,GLHidden,
ADVANCE_AERODYNAMICS,0,kv,Prerequisites,ADVANCE_INTERNAL_COMBUSTION
ADVANCE_AERODYNAMICS,1,kv,Prerequisites,ADVANCE_MASS_PRODUCTION
ADVANCE_AERODYNAMICS,2,kv,Cost,56710
ADVANCE_AERODYNAMICS,3,kv,Icon,ICON_ADVANCE_AERODYNAMICS
ADVANCE_AERODYNAMICS,4,kv,Branch,0
ADVANCE_AERODYNAMICS,5,kv,Age,AGE_SIX
ADVANCE_AERODYNAMICS,6,flag,GLHidden,
ADVANCE_AGE_OF_REASON,0,kv,Prerequisites,ADVANCE_VERNACULAR_PROSE
ADVANCE_AGE_OF_REASON,1,kv,Prerequisites,ADVANCE_NATIONALISM
ADVANCE_AGE_OF_REASON,2,kv,Cost,246660
ADVANCE_AGE_OF_REASON,3,kv,Icon,ICON_ADVANCE_AGE_OF_REASON
ADVANCE_AGE_OF_REASON,4,kv,Branch,0
ADVANCE_AGE_OF_REASON,5,kv,Age,AGE_FOUR
ADVANCE_AGE_OF_REASON,6,flag,GLHidden,
ADVANCE_AGRICULTURAL_REVOLUTION,0,kv,Prerequisites,ADVANCE_AQUEDUCTS
ADVANCE_AGRICULTURAL_REVOLUTION,1,kv,Prerequisites,ADVANCE_DARK_AGES
ADVANCE_AGRICULTURAL_REVOLUTION,2,kv,Cost,100000
ADVANCE_AGRICULTURAL_REVOLUTION,3,kv,Icon,ICON_ADVANCE_AGRICULTURAL_REVOLUTION
ADVANCE_AGRICULTURAL_REVOLUTION,4,kv,Branch,0
ADVANCE_AGRICULTURAL_REVOLUTION,5,kv,Age,AGE_THREE
ADVANCE_AGRICULTURAL_REVOLUTION,6,kv,KeyAdvanceAdvice,KEY_GROWTH_ADVANCE_ADVICE
ADVANCE_AGRICULTURAL_REVOLUTION,7,flag,GLHidden,
