block_id,seq,type,key,val
UNIT_HURRICANE,0,flag,CantBuild,
UNIT_HURRICANE,1,flag,GLHidden,
UNIT_HURRICANE,2,kv,Description,DESCRIPTION_UNIT_FIGHTER
UNIT_HURRICANE,3,kv,DefaultIcon,ICON_UNIT_HURRICANE
UNIT_HURRICANE,4,kv,DefaultSprite,SPRITE_HURRICANE
UNIT_HURRICANE,5,kv,Category,UNIT_CATEGORY_AERIAL
UNIT_HURRICANE,6,kv,Attack,10
UNIT_HURRICANE,7,kv,Defense,10
UNIT_HURRICANE,8,kv,ZBRangeAttack,0
UNIT_HURRICANE,9,kv,Firepower,3
UNIT_HURRICANE,10,kv,Armor,2
UNIT_HURRICANE,11,kv,MaxHP,10
UNIT_HURRICANE,12,kv,ShieldCost,1125
UNIT_HURRICANE,13,kv,PowerPoints,1500
UNIT_HURRICANE,14,kv,ShieldHunger,0
UNIT_HURRICANE,15,kv,FoodHunger,0
UNIT_HURRICANE,16,kv,MaxMovePoints,1200
UNIT_HURRICANE,17,kv,VisionRange,20
UNIT_HURRICANE,18,kv,EnableAdvance,ADVANCE_HEXTAPUL
UNIT_HURRICANE,19,kv,ActiveDefenseRange,20
UNIT_HURRICANE,20,flag,NoFuelThenCrash,
UNIT_HURRICANE,21,kv,MaxFuel,4800
UNIT_HURRICANE,22,flag,IgnoreZOC,
UNIT_HURRICANE,23,flag,NoZoc,
UNIT_HURRICANE,24,flag,CanBeachAssault,
UNIT_HURRICANE,25,flag,CantCaptureCity,
UNIT_HURRICANE,26,kv,SoundSelect1,SOUND_SELECT1_SPACE_PLANE
UNIT_HURRICANE,27,kv,SoundSelect2,SOUND_SELECT2_SPACE_PLANE
UNIT_HURRICANE,28,kv,SoundMove,SOUND_MOVE_SPACE_PLANE
UNIT_HURRICANE,29,kv,SoundAcknowledge,SOUND_ACKNOWLEDGE_SPACE_PLANE
UNIT_HURRICANE,30,kv,SoundCantMove,SOUND_CANTMOVE_SPACE_PLANE
UNIT_HURRICANE,31,kv,SoundAttack,SOUND_ATTACK_SPACE_PLANE
UNIT_HURRICANE,32,kv,SoundWork,SOUND_WORK_SPACE_PLANE
UNIT_HURRICANE,33,kv,SoundVictory,SOUND_VICTORY_SPACE_PLANE
UNIT_HURRICANE,34,kv,SoundDeath,SOUND_DEATH_SPACE_PLANE
UNIT_HURRICANE,35,sublist,CanAttack,Air
