block_id,seq,type,key,val
ADVANCE_RADAR,0,kv,Prerequisites,ADVANCE_ELECTRICITY
ADVANCE_RADAR,1,kv,Prerequisites,ADVANCE_NAVAL_AVIATION
ADVANCE_RADAR,2,kv,Cost,20000000
ADVANCE_RADAR,3,kv,Icon,ICON_ADVANCE_RADAR
ADVANCE_RADAR,4,kv,Branch,0
ADVANCE_RADAR,5,kv,Age,AGE_SIX
ADVANCE_CYBERNETICS,0,kv,Prerequisites,ADVANCE_EUGENICS
ADVANCE_CYBERNETICS,1,kv,Prerequisites,ADVANCE_NEURAL_INTERFACE
ADVANCE_CYBERNETICS,2,kv,Cost,2000000
ADVANCE_CYBERNETICS,3,kv,Icon,ICON_ADVANCE_CYBERNETICS
ADVANCE_CYBERNETICS,4,kv,Branch,0
ADVANCE_CYBERNETICS,5,kv,Age,AGE_EIGHT
ADVANCE_DWARVES,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_DWARVES,1,kv,Cost,20000000
ADVANCE_DWARVES,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_DWARVES,3,kv,Branch,0
ADVANCE_DWARVES,4,kv,Age,AGE_THREE
ADVANCE_DWARVES,5,flag,GLHidden,
ADVANCE_ELVES,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_ELVES,1,kv,Cost,20000000
ADVANCE_ELVES,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_ELVES,3,kv,Branch,0
ADVANCE_ELVES,4,kv,Age,AGE_THREE
ADVANCE_ELVES,5,flag,GLHidden,
ADVANCE_HOBBITS,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_HOBBITS,1,kv,Cost,20000000
ADVANCE_HOBBITS,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_HOBBITS,3,kv,Branch,0
ADVANCE_HOBBITS,4,kv,Age,AGE_THREE
ADVANCE_HOBBITS,5,flag,GLHidden,
ADVANCE_MEN,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_MEN,1,kv,Cost,20000000
ADVANCE_MEN,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_MEN,3,kv,Branch,0
ADVANCE_MEN,4,kv,Age,AGE_THREE
ADVANCE_MEN,5,flag,GLHidden,
ADVANCE_ORCS,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_ORCS,1,kv,Cost,20000000
ADVANCE_ORCS,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_ORCS,3,kv,Branch,0
ADVANCE_ORCS,4,kv,Age,AGE_THREE
ADVANCE_ORCS,5,flag,GLHidden,
ADVANCE_GOOD,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_GOOD,1,kv,Cost,20000000
ADVANCE_GOOD,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_GOOD,3,kv,Branch,0
ADVANCE_GOOD,4,kv,Age,AGE_THREE
ADVANCE_GOOD,5,flag,GLHidden,
ADVANCE_EVIL,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_EVIL,1,kv,Cost,20000000
ADVANCE_EVIL,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_EVIL,3,kv,Branch,0
ADVANCE_EVIL,4,kv,Age,AGE_THREE
ADVANCE_EVIL,5,flag,GLHidden,
ADVANCE_ANGMAR,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_ANGMAR,1,kv,Cost,20000000
ADVANCE_ANGMAR,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_ANGMAR,3,kv,Branch,0
ADVANCE_ANGMAR,4,kv,Age,AGE_THREE
ADVANCE_ANGMAR,5,flag,GLHidden,
ADVANCE_ARNOR,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_ARNOR,1,kv,Cost,20000000
ADVANCE_ARNOR,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_ARNOR,3,kv,Branch,0
ADVANCE_ARNOR,4,kv,Age,AGE_THREE
ADVANCE_ARNOR,5,flag,GLHidden,
ADVANCE_EASTERLING,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_EASTERLING,1,kv,Cost,20000000
ADVANCE_EASTERLING,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_EASTERLING,3,kv,Branch,0
ADVANCE_EASTERLING,4,kv,Age,AGE_THREE
ADVANCE_EASTERLING,5,flag,GLHidden,
ADVANCE_GONDOR,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_GONDOR,1,kv,Cost,20000000
ADVANCE_GONDOR,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_GONDOR,3,kv,Branch,0
ADVANCE_GONDOR,4,kv,Age,AGE_THREE
ADVANCE_GONDOR,5,flag,GLHidden,
ADVANCE_HARADRIM,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_HARADRIM,1,kv,Cost,20000000
ADVANCE_HARADRIM,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_HARADRIM,3,kv,Branch,0
ADVANCE_HARADRIM,4,kv,Age,AGE_THREE
ADVANCE_HARADRIM,5,flag,GLHidden,
ADVANCE_ISENGARD,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_ISENGARD,1,kv,Cost,20000000
ADVANCE_ISENGARD,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_ISENGARD,3,kv,Branch,0
ADVANCE_ISENGARD,4,kv,Age,AGE_THREE
ADVANCE_ISENGARD,5,flag,GLHidden,
ADVANCE_MORDOR,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_MORDOR,1,kv,Cost,20000000
ADVANCE_MORDOR,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_MORDOR,3,kv,Branch,0
ADVANCE_MORDOR,4,kv,Age,AGE_THREE
ADVANCE_MORDOR,5,flag,GLHidden,
ADVANCE_NORTHMEN,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_NORTHMEN,1,kv,Cost,20000000
ADVANCE_NORTHMEN,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_NORTHMEN,3,kv,Branch,0
ADVANCE_NORTHMEN,4,kv,Age,AGE_THREE
ADVANCE_NORTHMEN,5,flag,GLHidden,
ADVANCE_ROHAN,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_ROHAN,1,kv,Cost,20000000
ADVANCE_ROHAN,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_ROHAN,3,kv,Branch,0
ADVANCE_ROHAN,4,kv,Age,AGE_THREE
ADVANCE_ROHAN,5,flag,GLHidden,
ADVANCE_SINDAR,0,kv,Prerequisites,ADVANCE_GAIA_CONTROLLER
ADVANCE_SINDAR,1,kv,Cost,20000000
ADVANCE_SINDAR,2,kv,Icon,ICON_ADVANCE_HEXTAPUL
ADVANCE_SINDAR,3,kv,Branch,0
ADVANCE_SINDAR,4,kv,Age,AGE_THREE
ADVANCE_SINDAR,5,flag,GLHidden,
ADVANCE_AGRICULTURE,0,kv,Cost,225
ADVANCE_AGRICULTURE,1,kv,Icon,ICON_ADVANCE_AGRICULTURE
ADVANCE_AGRICULTURE,2,kv,Branch,0
ADVANCE_AGRICULTURE,3,kv,Age,AGE_ONE
ADVANCE_ALCHEMY,0,kv,Prerequisites,ADVANCE_COSMOLOGY
ADVANCE_ALCHEMY,1,kv,Prerequisites,ADVANCE_BALLISTICS
ADVANCE_ALCHEMY,2,kv,Cost,3300
ADVANCE_ALCHEMY,3,kv,Icon,ICON_ADVANCE_ALCHEMY
ADVANCE_ALCHEMY,4,kv,Branch,0
ADVANCE_ALCHEMY,5,kv,Age,AGE_TWO
ADVANCE_ALCHEMY_HARADRIM,0,kv,Prerequisites,ADVANCE_ALCHEMY
ADVANCE_ALCHEMY_HARADRIM,1,kv,Prerequisites,ADVANCE_HARADRIM
ADVANCE_ALCHEMY_HARADRIM,2,kv,Cost,750
