block_id,seq,type,key,val
UNIT_H_ANGMAR,0,kv,Description,DESCRIPTION_UNIT_PIKEMEN
UNIT_H_ANGMAR,1,kv,DefaultIcon,ICON_UNIT_H_ANGMAR
UNIT_H_ANGMAR,2,kv,DefaultSprite,SPRITE_H_ANGMAR
UNIT_H_ANGMAR,3,kv,Category,UNIT_CATEGORY_RANGED
UNIT_H_ANGMAR,4,kv,Attack,70
UNIT_H_ANGMAR,5,kv,Defense,70
UNIT_H_ANGMAR,6,kv,ZBRangeAttack,70
UNIT_H_ANGMAR,7,kv,Firepower,2
UNIT_H_ANGMAR,8,kv,Armor,1
UNIT_H_ANGMAR,9,kv,MaxHP,25
UNIT_H_ANGMAR,10,kv,ShieldCost,1000
UNIT_H_ANGMAR,11,kv,PowerPoints,400
UNIT_H_ANGMAR,12,kv,ShieldHunger,7
UNIT_H_ANGMAR,13,kv,FoodHunger,0
UNIT_H_ANGMAR,14,kv,MaxMovePoints,0
UNIT_H_ANGMAR,15,kv,VisionRange,1
UNIT_H_ANGMAR,16,kv,EnableAdvance,ADVANCE_HEXTAPUL
UNIT_H_ANGMAR,17,kv,BombRounds,5
UNIT_H_ANGMAR,18,kv,BombardRange,1
UNIT_H_ANGMAR,19,flag,CanCounterBombard,
UNIT_H_ANGMAR,20,kv,ActiveDefenseRange,0
UNIT_H_ANGMAR,21,flag,LossMoveToDmgNone,
UNIT_H_ANGMAR,22,kv,MaxFuel,0
UNIT_H_ANGMAR,23,flag,CanEntrench,
UNIT_H_ANGMAR,24,flag,NoZoc,
UNIT_H_ANGMAR,25,flag,CanExpel,
UNIT_H_ANGMAR,26,flag,CanPillage,
UNIT_H_ANGMAR,27,flag,CanPirate,
UNIT_H_ANGMAR,28,flag,ExertsMartialLaw,
UNIT_H_ANGMAR,29,flag,DeathEffectsHappy,
UNIT_H_ANGMAR,30,flag,BonusAgainstMounted,
UNIT_H_ANGMAR,31,kv,MountedBonus,0.2
UNIT_H_ANGMAR,32,flag,OnlyBuildOne,
UNIT_H_ANGMAR,33,flag,VictoryEnslavement,
UNIT_H_ANGMAR,34,kv,SoundSelect1,SOUND_SELECT1_PIKEMEN
UNIT_H_ANGMAR,35,kv,SoundSelect2,SOUND_SELECT2_PIKEMEN
UNIT_H_ANGMAR,36,kv,SoundMove,SOUND_MOVE_PIKEMEN
UNIT_H_ANGMAR,37,kv,SoundAcknowledge,SOUND_ACKNOWLEDGE_PIKEMEN
UNIT_H_ANGMAR,38,kv,SoundCantMove,SOUND_CANTMOVE_PIKEMEN
UNIT_H_ANGMAR,39,kv,SoundAttack,SOUND_ATTACK_PIKEMEN
UNIT_H_ANGMAR,40,kv,SoundWork,SOUND_WORK_PIKEMEN
UNIT_H_ANGMAR,41,kv,SoundVictory,SOUND_VICTORY_PIKEMEN
UNIT_H_ANGMAR,42,kv,SoundDeath,SOUND_DEATH_PIKEMEN
UNIT_H_ANGMAR,43,sublist,CanAttack,Land
