key,field_type,ae_count,cradle_count,aom_count,uses,sample
ActiveDefenseRange,kv,72,198,286,556,0
Armor,kv,72,198,286,556,0
Attack,kv,72,198,286,556,0
Category,kv,72,198,286,556,UNIT_CATEGORY_AERIAL
DefaultIcon,kv,72,198,286,556,ICON_UNIT_ABOLITIONIST
DefaultSprite,kv,72,198,286,556,SPRITE_ABOLITIONIST
Defense,kv,72,198,286,556,0
Description,kv,72,198,286,556,DESCRIPTION_UNIT_ABOLITIONIST
Firepower,kv,72,198,287,556,0
FoodHunger,kv,72,198,286,556,0
MaxFuel,kv,72,198,286,556,0
MaxHP,kv,72,198,286,556,0
MaxMovePoints,kv,72,198,286,556,0
PowerPoints,kv,72,198,286,556,0
ShieldCost,kv,72,198,286,556,0
ShieldHunger,kv,72,198,286,556,0
SoundAcknowledge,kv,72,198,286,556,SOUND_ACKNOWLEDGE_ABOLITIONIST
SoundAttack,kv,72,198,286,556,SOUND_ATTACK_ABOLITIONIST
SoundCantMove,kv,72,198,286,556,SOUND_CANTMOVE_ABOLITIONIST
SoundDeath,kv,72,198,286,556,SOUND_DEATH_ABOLITIONIST
SoundMove,kv,72,198,286,556,SOUND_MOVE_ABOLITIONIST
SoundSelect1,kv,72,198,286,556,SOUND_ID_ELEPHANT
SoundSelect2,kv,72,198,286,556,SOUND_SELECT2_ABOLITIONIST
SoundVictory,kv,72,198,286,556,SOUND_ID_ELEPHANT
SoundWork,kv,72,198,286,556,SOUND_WORK_ABOLITIONIST
VisionRange,kv,72,198,286,556,0
ZBRangeAttack,kv,72,198,286,556,0
MovementType,sublist,120,339,468,551,Air
Size,sublist,71,196,284,551,Large
VisionClass,sublist,71,200,284,551,Standard
CanSee,sublist,94,255,311,550,Standard
LossMoveToDmgNone,flag,70,194,282,546,
EnableAdvance,kv,68,195,282,545,ADVANCE_ADVANCED_COMPOSITES
DeathEffectsHappy,flag,63,187,275,525,
CanAttack,sublist,117,335,494,472,Air
CanReform,nested,36,153,235,424,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_REFORM_CITY""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_REFORMCITY""}]"
CanExpel,flag,36,154,233,423,
CanPillage,flag,36,153,233,422,
CanPirate,flag,36,152,233,421,
OnlyBuildOne,flag,3,149,252,404,
CanEntrench,flag,22,153,226,401,
ExertsMartialLaw,flag,29,141,216,386,
CantBuild,flag,3,143,142,286,
NoZoc,flag,32,153,56,241,
IsSpecialForces,flag,23,71,92,186,
CantCaptureCity,flag,44,57,76,177,
BombRounds,kv,20,80,71,171,1
BombardRange,kv,20,80,71,171,1
ObsoleteAdvance,kv,33,0,137,168,ADVANCE_ADVANCED_COMPOSITES
CanCounterBombard,flag,4,79,69,152,
CanBombard,sublist,39,155,131,138,Air
IsFlanker,flag,4,36,85,125,
Explodes,flag,31,31,50,112,
GLHidden,flag,3,102,6,109,
IgnoreZOC,flag,26,34,40,100,
BonusAgainstMounted,flag,1,59,27,87,
MountedBonus,kv,1,59,27,87,0.10
GoldHunger,kv,67,0,0,67,0
CanBeachAssault,flag,7,15,38,60,
IsMounted,flag,3,10,46,59,
CanBeExpelled,flag,14,20,23,57,
CanCarry,sublist,16,34,49,56,MedAir
CargoData,nested,11,18,26,55,"[{""t"": ""kv"", ""k"": ""MaxCargo"", ""v"": ""1""}, {""t"": ""kv"", ""k"": ""Load"", ""v"": ""SOUND_ID_BOMBER_LOAD""}, {""t"": ""kv"", ""k"": ""Unload"", ""v"": ""SOUND_ID_BOMBER_UNLOAD""}]"
CanBeSued,flag,3,41,6,50,
Civilian,flag,10,15,18,43,
NoFuelThenCrash,flag,9,11,17,37,
UpgradeTo,kv,69,0,0,33,UNIT_ARTILLERY
VictoryEnslavement,flag,1,6,26,31,
WoodenShip,flag,5,8,15,28,
InvestigateCity,nested,2,17,7,26,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.05""}]"
GovernmentType,kv,4,0,20,24,GOVERNMENT_CALIPHATE
BuildingRemovesAPop,flag,3,4,16,23,
ConvertCities,nested,2,14,6,22,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.05""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_CONVERT_CITIES_CL""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_CONVERT_CITIES""}]"
Defend,sublist,11,6,7,21,Air
IsSubmarine,flag,7,7,7,21,
EnableCarrierDefenses,flag,4,5,10,19,
