icon_idx,epoch,category,epoch_label,category_label,grid_col,grid_row
0,0,0,Ancient(0),Militaristic,0,0
1,0,1,Ancient(0),Economic,1,0
2,0,2,Ancient(0),Social,2,0
3,0,3,Ancient(0),Academic,3,0
4,0,4,Ancient(0),Expansionist,4,0
5,1,0,Renaissance(1),Militaristic,0,1
6,1,1,Renaissance(1),Economic,1,1
7,1,2,Renaissance(1),Social,2,1
8,1,3,Renaissance(1),Academic,3,1
9,1,4,Renaissance(1),Expansionist,4,1
10,2,0,Industrial(2),Militaristic,0,2
11,2,1,Industrial(2),Economic,1,2
12,2,2,Industrial(2),Social,2,2
13,2,3,Industrial(2),Academic,3,2
14,2,4,Industrial(2),Expansionist,4,2
15,3,0,Modern(3),Militaristic,0,3
16,3,1,Modern(3),Economic,1,3
17,3,2,Modern(3),Social,2,3
18,3,3,Modern(3),Academic,3,3
19,3,4,Modern(3),Expansionist,4,3
